"","Author","Commnum"
"1","Webe Free",978
"2","wong",838
"3","Rick Kooi",723
"4","1000frolly PhD",580
"5","SwiftlyTiltingPlanet",474
"6","Ragnaar Minnesota",380
"7","allgoo19",369
"8","Captain Dumbass",339
"9","Kyle Towers",331
"10","robert hicks",323
"11","fynes leigh",297
"12","VeryEvilPettingZoo",263
"13","Serge Mooyman",257
"14","Suspicious0bservers",253
"15","Luke Kerr",247
"16","Bob Phin",239
"17","Steve Dekker",218
"18","5000Kone",184
"19","Andy Prosseda",167
"20","Dale Smith",139
"21","Dale Ruff",137
"22","Stormy Sampson",133
"23","Rick TD",118
"24","davetileguy",117
"25","Eric",113
"26","ApolloWasReal",112
"27","Aanthanur DC",101
"28","YTEdy",96
"29","CAGW Scam",94
"30","Indio Side",94
"31","Georg Spengler",93
"32","Mr Cabot",93
"33","paul smith",92
"34","Gladescat",89
"35","Ródrigo",86
"36","I Vuz Gassed Six, No, Twelve Times!",82
"37","Jenn smith",82
"38","thinkerly1",80
"39","LIBERAL NPC",79
"40","louiscypher1001",78
"41","pale blue dot",78
"42","Tom B",78
"43","Blue",72
"44","Double D",72
"45","Sean Hollingsworth",71
"46","Crazyworld Larue",69
"47","橋本絵莉子",64
"48","Timothy E Hook",64
"49","Alex Ocasio-Gomez",61
"50","demigodzilla",61
"51","paul mortimer",61
"52","Scott Wallace",61
"53","CiPhEr505",60
"54","longliverocknroll5",60
"55","RedXlV",60
"56","James Brice",58
"57","zdcyclops1 lickley",58
"58","C_R_O_M__________",57
"59","MauriatOttolink",57
"60","Chris Thompson",56
"61","Lucian MacAndrew",56
"62","owen suppes",56
"63","Avatar BoB",55
"64","Taku Ito Ito",55
"65","ok",54
"66","IvyMargret Green",53
"67","Mitchell Davis",53
"68","snuffeldjuret",53
"69","Boony Tooty",52
"70","M L",51
"71","Salokin",50
"72","Crushed Luminary",49
"73","Enquiry News/ Felkins Works",49
"74","haroldsdodge",49
"75","Gneiss Girl",48
"76","Peder Hansen",46
"77","Zwiebelface",46
"78","Desertphile",45
"79","Bongo Dave",44
"80","Robusti09",44
"81","Steve Schmengle",44
"82","WhoFramedMSG",44
"83","R. E. Heubel",43
"84","Z S",43
"85","Chris Golledge",42
"86","Indrid Cold",42
"87","Jay Ess",42
"88","John Wilkes",42
"89","Bee Happy",41
"90","Markus Patients",41
"91","netzoned",41
"92","Per Eskelund",41
"93","anonymous",40
"94","D.a .n.a",40
"95","Ishmael Forester",40
"96","J Puckett",40
"97","M. S.",40
"98","Veralynn Sapp",40
"99","garet claborn",39
"100","John Doe",39
