word,n
co2,8787
br,7490
quot,4278
https,4081
evidence,3074
video,2429
fossil,2346
i'm,2334
ðÿ,2266
truth,2222
http,2004
guy,1604
fuel,1583
models,1563
lol,1484
etc,1414
ipcc,1281
due,1175
href,1175
fuels,1174
trump,1163
peer,1100
per,956
dioxide,947
public,929
simply,918
model,900
physics,900
future,875
dr,815
deniers,813
cycles,788
fox,786
idiot,763
i've,722
re,685
cycle,684
ok,663
bs,628
deny,620
un,620
idiots,574
temps,557
i'll,550
koch,523
temp,523
iâ,506
stuff,499
wow,493
experts,490
species,490
c02,489
videos,469
guys,464
dumb,444
ppm,443
fool,438
rick,425
denier,424
quote,405
expert,402
zero,393
et,388
mr,352
de,347
evil,347
u.s,341
bill,329
el,324
debunked,321
ff,314
i'd,312
btw,301
spent,299
wiki,299
ºðÿ,297
fuck,296
bunch,293
lose,293
im,292
joke,291
possibly,291
silly,285
complex,281
prize,273
expensive,272
dude,271
truly,269
kooi,268
policy,268
multiple,265
pole,263
"10,000",260
steve,248
pure,247
ve,247
uk,245
bob,243
drought,243
tried,243
kids,239
shut,238
universe,238
survey,236
poles,233
gullible,228
bible,223
survive,221
kyle,219
perfect,216
tv,215
plenty,214
respect,212
mid,211
co,209
gw,207
pdf,206
scott,206
yep,206
vote,204
fools,203
destroy,201
i.e,201
vs,200
droughts,199
fix,199
loss,199
built,193
eric,191
refute,190
ur,189
cult,186
oyhcqv5tnsq,186
smog,184
folks,182
loser,180
reference,179
policies,178
projected,175
jet,172
phd,172
spencer,171
tim,171
clue,170
hicks,168
film,166
project,166
rely,166
kid,164
pro,164
role,164
cnn,162
mike,162
"100,000",161
joe,161
sir,160
1st,159
smoke,158
destroyed,157
flood,157
net,157
equilibrium,156
greed,155
serge,155
floods,154
roy,154
nye,153
reject,152
efficient,150
perspective,150
3rd,148
perfectly,146
xd,145
refer,144
ie,142
luck,142
pre,142
promote,140
rid,140
movie,139
70s,134
ill,134
july,134
debunk,133
dirty,133
pockets,131
sick,131
peter,129
20th,128
ll,128
prefer,128
grid,127
unprecedented,126
june,125
suffer,125
tech,125
pollute,124
bc,122
dekker,122
ch4,121
frequency,121
idiotic,121
junk,121
rss,121
fed,120
till,120
ir,118
reefs,118
tide,118
yr,118
2nd,117
huh,117
dems,116
holocene,116
wtf,116
commie,115
o2,115
buddy,114
yrs,114
church,112
ghg,112
html,112
progress,112
debt,111
refuted,111
duh,110
hurt,110
nwo,110
ph,110
"15,000",109
petroleum,109
roughly,109
cosmic,108
jim,108
h2o,107
utter,106
respected,105
iq,104
multi,104
nuts,104
terrible,103
1970s,102
council,102
projects,102
www.ipcc.ch,102
eh,101
gt,99
spectrum,99
tcy_uojeir0,99
hide,98
jets,98
eu,97
judge,97
e.g,96
quoted,96
club,95
reef,95
series,95
tilt,95
1.09ëš,94
en,94
holy,94
reflect,94
rob,94
hydrogen,93
excess,92
kool,92
greedy,91
img,91
polluted,91
birth,90
geo,90
jeff,90
niã,90
references,90
stuck,90
chose,89
curry,89
flooded,89
id,89
recognize,89
vehicles,89
denies,88
lecture,88
utterly,88
lung,87
sub,87
td,87
wp,87
frozen,86
denied,85
ed,85
owqiy8ikv,85
sufficient,84
losses,83
polluters,83
rejected,83
secret,83
bull,82
suck,82
msm,81
odd,81
eco,80
ex,80
hmm,80
depth,79
trick,79
tries,79
400ppm,78
burden,78
civil,78
hi,78
npc,78
omg,78
utf,78
1.5,77
19th,77
2015.7,77
dire,77
elected,77
hook,77
quotes,77
spew,77
uv,77
vested,77
1996.6,76
cc,76
pump,76
ruff,76
thru,76
timothy,76
0.3,75
destructive,75
thumbs,75
fudged,74
hidden,74
nut,74
truths,74
ecs,73
empty,73
evolved,73
gulf,73
yt,73
0.1,72
â·â,72
joseph,72
u.n,72
violence,72
guilty,71
hmmm,71
ps,71
spike,71
votes,71
bimbo,70
ppl,70
gee,69
voted,69
dump,68
employed,68
lucky,68
publicly,68
surveys,68
frequent,67
kwh,67
subsequent,67
text,67
1990s,66
bbc,66
mm,66
structure,66
terry,66
5th,65
90s,65
dense,65
tropics,65
bollocks,64
expense,64
chosen,63
culture,63
dig,63
ii,63
imply,63
peers,63
f'n,62
gdp,62
jews,62
sensible,62
defense,61
fynes,61
proxy,61
purely,61
que,61
roger,61
techniques,61
tho,61
80s,60
dc,60
desire,60
hype,60
jenn,60
pipe,60
proud,60
whilst,60
0.8,59
ensembles,59
hydro,59
mobile,59
4.5,58
brief,58
efficiency,58
gross,58
populum,58
reflected,58
screen,58
curve,57
ft,57
idiocy,57
progressive,57
refugees,57
trump's,57
wobble,57
1c,56
bomb,56
french,56
pop,56
proxies,56
ross,56
terribly,56
21st,55
fixed,55
motive,55
refers,55
vehicle,55
1â,54
"30,000",54
strike,54
ted,54
trumps,54
4th,53
dick,53
screw,53
bills,52
code,52
frequently,52
hurts,52
ipcc's,52
leigh,52
negligible,52
ommzf8gb7gs,52
optimum,52
senile,52
spengler,52
sulfur,52
th,52
uh,52
um,52
wiped,52
"1,000",51
b.s,51
cure,51
eg,51
jeez,51
pocket,51
rejects,51
tsi,51
victims,51
0.04,50
1.01ëš,50
1.33ëš,50
bro,50
bubble,50
em,50
energies,50
hire,50
losers,50
ny,50
priests,50
promoted,50
remotely,50
republic,50
strength,50
sum,50
survived,50
vid,50
evident,49
lock,49
loop,49
luke,49
pot,49
silence,49
st,49
tides,49
"12,000",48
deceptive,48
frequencies,48
locked,48
motives,48
ph.d,48
schmidt,48
se,48
style,48
0.93ëš,47
1.06ëš,47
1.12ëš,47
1.28ëš,47
1800s,47
6.5,47
97.1,47
currency,47
cuz,47
guilt,47
kick,47
loose,47
suicide,47
firm,46
fossils,46
genetic,46
pr,46
pumped,46
thrive,46
60s,45
compete,45
jr,45
philip,45
pope,45
truthful,45
vol,45
ytedy,45
dec,44
derived,44
ect,44
griggs,44
iii,44
lungs,44
nuke,44
presence,44
sucks,44
10.1088,43
cm,43
esrl,43
km,43
pool,43
refutes,43
sceptics,43
skies,43
stfu,43
1980s,42
2.5,42
99.99,42
deluded,42
dumped,42
feb,42
frost,42
guest,42
host,42
mb,42
micro,42
mt,42
polls,42
subsidized,42
violent,42
virtue,42
yields,42
ˆðÿ,41
buried,41
del,41
des,41
evolve,41
fucked,41
fudge,41
i.r,41
illness,41
neo,41
petrol,41
poll,41
rizzy,41
voter,41
0.5c,40
"20,000",40
"800,000",40
bp,40
drier,40
du,40
hungry,40
ive,40
jpg,40
mobil,40
ole,40
0.2c,39
1000s,39
1960s,39
"2,000",39
3c,39
crude,39
dept,39
devil,39
epic,39
er,39
exceeded,39
ffs,39
flux,39
fyi,39
miller,39
nir,39
nyc,39
pile,39
ploy,39
quo,39
sigh,39
stress,39
strikes,39
wm,39
boom,38
deceive,38
dirt,38
erik,38
fought,38
grey,38
hunger,38
imo,38
mild,38
mom,38
murry,38
sue,38
tune,38
vic,38
victim,38
wilkes,38
10â,37
1950s,37
2f,37
æœ,37
debunks,37
empire,37
ghgs,37
gmo,37
n2,37
rip,37
rude,37
thirty,37
voters,37
yield,37
yo,37
1930s,36
bike,36
click,36
ðÿœ,36
employ,36
files,36
idk,36
keen,36
nutrients,36
oe,36
oops,36
op,36
pp,36
scum,36
smh,36
1.8,35
å­,35
bowl,35
bubbles,35
çµµèž,35
drug,35
drugs,35
grossly,35
jumbo,35
murder,35
ought,35
oxide,35
p.s,35
pig,35
sex,35
technique,35
cfcs,34
destroys,34
fees,34
lee,34
ounce,34
phil,34
reflects,34
threw,34
wg1,34
y2k,34
0.3c,33
"2,500",33
boss,33
bridge,33
eugenics,33
excessive,33
folk,33
fucks,33
gloom,33
gsm,33
htm,33
msnbc,33
oxides,33
pics,33
recycle,33
tip,33
wolf,33
wunsch,33
2â,32
bot,32
bulk,32
bunk,32
filter,32
flip,32
geophysics,32
odds,32
png,32
sci,32
ww2,32
"400,000",31
5c,31
99.9,31
âœ,31
billy,31
bound,31
bow,31
breed,31
buck,31
bucket,31
csiro,31
depths,31
exceed,31
hl,31
kicked,31
mie,31
peder,31
ridicule,31
shoot,31
tuned,31
unique,31
wwii,31
bombs,30
detect,30
egypt,30
employees,30
evidently,30
filthy,30
jerk,30
ken,30
mob,30
nick,30
progressives,30
request,30
rex,30
shock,30
skew,30
url,30
wipe,30
buoys,29
cru,29
cyclic,29
deg,29
devoid,29
dummies,29
grumnut1,29
hmmmm,29
jun,29
kelly,29
los,29
luckily,29
mâ,29
modest,29
nutrient,29
pm,29
sceptic,29
structures,29
suzuki,29
sydney,29
tic,29
yer,29
0.2,28
0.4,28
3â,28
"5,000",28
"8,000",28
cough,28
firmly,28
fluid,28
geezer,28
humble,28
kochs,28
mock,28
pc,28
poop,28
procedures,28
referenced,28
revelle,28
sh,28
spill,28
sums,28
urge,28
0.5,27
13th,27
"50,000",27
bucks,27
bury,27
h20,27
kerr,27
loops,27
mumbo,27
penny,27
phd's,27
poo,27
spills,27
0.6,26
2.0,26
"40,000",26
7.5,26
clip,26
d.c,26
dutch,26
homicide,26
recognized,26
remote,26
ridley,26
semi,26
shocked,26
struggle,26
uncle,26
woke,26
www,26
0.7,25
1.2,25
5g,25
bio,25
bugs,25
cfc's,25
chunk,25
cubic,25
curb,25
echo,25
froze,25
jew,25
kim,25
m2,25
mph,25
murphy,25
oct,25
pigs,25
plug,25
shirt,25
shove,25
sq,25
styles,25
sucked,25
ved,25
www.bbc.com,25
2c,24
"6,000",24
6th,24
boosted,24
bros,24
bruce,24
bud,24
coâ,24
crooks,24
dip,24
efficiently,24
enquiry,24
es,24
fried,24
jerbi,24
josh,24
kojo,24
luxury,24
movies,24
nã,24
nukes,24
obscure,24
œi,24
perceive,24
piers,24
pt,24
ricky,24
sã,24
sjw,24
stem,24
subsidize,24
sucker,24
surgery,24
trigger,24
v6,24
zombie,24
10x,23
1900s,23
50s,23
blew,23
boo,23
bryce,23
coke,23
cope,23
crook,23
employee,23
grip,23
mã,23
mode,23
neil,23
pesticides,23
petty,23
pres,23
promotes,23
suvs,23
syr,23
wilbur,23
0.9,22
1.4c,22
280ppm,22
ãƒ,22
boot,22
câ,22
eddy,22
eve,22
ƒðÿ,22
fertilizer,22
films,22
flesh,22
floyd,22
homo,22
ippc,22
