"","Author","Commnum"
"1","Webe Free",978
"2","wong",796
"3","robert hicks",624
"4","SwiftlyTiltingPlanet",591
"5","1000frolly PhD",580
"6","Rick Kooi",578
"7","Ragnaar Minnesota",436
"8","allgoo19",369
"9","Captain Dumbass",339
"10","Kyle Towers",331
"11","VeryEvilPettingZoo",296
"12","Blue",274
"13","Steve Dekker",267
"14","Serge Mooyman",257
"15","Luke Kerr",247
"16","Bob Phin",239
"17","Andy Prosseda",167
"18","YTEdy",148
"19","Dale Smith",139
"20","James Clark",123
"21","davetileguy",117
"22","Aanthanur DC",112
"23","ApolloWasReal",112
"24","Aaron Kuhlman",110
"25","Indio Side",100
"26","CAGW Scam",98
"27","James Robert Clark",98
"28","vidfreak56",96
"29","Jon Wo",90
"30","Gladescat",89
"31","Ródrigo",86
"32","R. E. Heubel",84
"33","Double D",80
"34","thinkerly1",80
"35","LIBERAL NPC",79
"36","Jenn smith",78
"37","pale blue dot",78
"38","Tom B",78
"39","Arion Erron",76
"40","louiscypher1001",76
"41","Crystal Giddens",75
"42","Sean Hollingsworth",71
"43","Going To Getugly",68
"44","Stephen Nielsen",68
"45","Thomas Cha",67
"46","sabin97",66
"47","橋本絵莉子",64
"48","Timothy E Hook",64
"49","xchopp",63
"50","Alex Ocasio-Gomez",61
"51","demigodzilla",61
"52","paul mortimer",61
"53","CiPhEr505",60
"54","RedXlV",60
"55","remake it",60
"56","Scott Wallace",60
"57","James Brice",58
"58","Pragmatism Pugilism",58
"59","zdcyclops1 lickley",58
"60","MauriatOttolink",56
"61","ok",54
"62","IvyMargret Green",53
"63","Kasbian Vaulks",53
"64","Mitchell Davis",53
"65","snuffeldjuret",53
"66","Boony Tooty",52
"67","Mr Cabot",51
"68","Salokin",50
"69","Daniel Misgana",49
"70","haroldsdodge",49
"71","Zwiebelface",49
"72","Dale Ruff",48
"73","Desertphile",47
"74","Craig Covell",46
"75","longliverocknroll5",46
"76","Peder Hansen",46
"77","Steve Schmengle",45
"78","Bongo Dave",44
"79","Robusti09",44
"80","WhoFramedMSG",44
"81","D.a .n.a",43
"82","Heaxen _",43
"83","Z S",43
"84","Ed Norris",42
"85","Jay Ess",42
"86","John Wilkes",42
"87","Águila701",41
"88","Georg Spengler",41
"89","ScorpioDragon94",41
"90","Shark Bait",41
"91","david H",40
"92","Franz Maier",40
"93","Ishmael Forester",40
"94","J Puckett",40
"95","Tom Franklin",40
"96","Veralynn Sapp",40
"97","De Factio",39
"98","garet claborn",39
"99","M. S.",39
"100","Mark Anthony",39
