id	Nl5NW9KcMt0
published	2016-10-10 16:58:06
published_unix	1476118686
title	CIA Whistleblower Speaks Out About Climate Engineering, Vaccination Dangers, and 911
description	http://GeoengineeringWatch.org If you like this video, please SUBSCRIBE to our channel: https://www.youtube.com/c/DaneWigington Our hope and goal is for this video to be shared far and wide, DO NOT RE-UPLOAD this copyrighted video without prior written permission and conditions from GeoengineeringWatch.org TO READ OR POST COMMENTS ON THIS VIDEO, PLEASE GO DIRECTLY TO THE ARTICLE http://www.geoengineeringwatch.org/cia-whistleblower-speaks-out-about-climate-engineering-vaccination-dangers-911-and-the-governments-persecution-of-truth-tellers/ Kevin Shipp was a decorated CIA officer who refused to look the other way in regard to government criminality and cover-up. At a very important public awareness event that was recently held in Northern California, Mr. Shipp gave an extremely informative and compelling presentation on numerous horrific ongoing government crimes. The subjects Kevin Shipp addressed included climate engineering, the 911 false flag inside job, vaccination dangers/cover-up, and the governments total persecution of anyone who dares to tell the truth about rampant government tyranny. The paradigm we have all known has been built on deception and the dark agendas of the global power structure. The courage Kevin Shipp has shown by doing his best to expose government criminality and tyranny serves as a stellar example to all of us. We desperately need other individuals in government agencies and the US military to follow Kevin's lead . If we have any chance of stopping the completely out of control criminal cabal that currently runs our country and much of the world, we must all make our voices heard, we must all join the battle for the greater good. Dane Wigington To support GeoengineeringWatch.org: http://www.geoengineeringwatch.org/support/ To receive Geoengineering Watch updates, please sign up for our mailing list: https://www.geoengineeringwatch.org/newsletter/ The Catastrophic Consequences Of Climate Engineering https://www.youtube.com/watch?v=kyxmrwbTKoM The latest and most effective GeoengineeringWatch.org awareness raising materials can be found at the links below: 2 sided color glossy informational flyers: http://www.geoengineeringwatch.org/ads/ 20 page fact and photo summary booklets: http://www.geoengineeringwatch.org/climate-engineering-fact-and-photo-summary/ To follow us on Facebook, click here: https://www.facebook.com/dane.wigington.geoengineeringwatch.org To follow the latest GeoengineeringWatch.org videos please subscribe to our four youtube channels below: Dane Wigington https://www.youtube.com/c/DaneWigington Geoengineering Watch https://www.youtube.com/c/GeoengineeringWatch GeoengineeringWatch.org https://www.youtube.com/c/GeoengineeringWatchOrg Geo Watch https://www.youtube.com/c/GeoWatch
channelId	UC18-7qYJWAqM9eF1GvMn6Og
channelTitle	Dane Wigington
duration	PT41M23S
dimension	2d
definition	hd
caption	false
allowedIn	
blockedIn	
licensedContent	1
viewCount	1700692
likeCount	24298
dislikeCount	1689
favoriteCount	0
commentCount	618
uploadStatus	processed
privacyStatus	public
license	youtube
embeddable	1
publicStatsViewable	1
