id	replyCount	likeCount	publishedAt	authorName	text	authorChannelId	authorChannelUrl	isReply	isReplyTo	isReplyToName
Ugzrpow-NM_LPDtonpx4AaABAg	15	311	2018-08-22 00:36:38	Dane Wigington	If you like this video, please SUBSCRIBE to our channel: <a href="https://www.youtube.com/c/DaneWigington">https://www.youtube.com/c/DaneWigington</a><br /><br />Kevin Shipp was a decorated CIA officer who refused to look the other way in regard to government criminality and cover-up. At a very important public awareness event that was recently held in Northern California, Mr. Shipp gave an extremely informative and compelling presentation on numerous horrific ongoing government crimes. The subjects Kevin Shipp addressed included climate engineering, the 911 false flag inside job, vaccination dangers/cover-up, and the governments total persecution of anyone who dares to tell the truth about rampant government tyranny. <br />The paradigm we have all known has been built on deception and the dark agendas of the global power structure. The courage Kevin Shipp has shown by doing his best to expose government criminality and tyranny serves as a stellar example to all of us. We desperately need other individuals in government agencies and the US military to follow Kevin&#39;s lead . If we have any chance of stopping the completely out of control criminal cabal that currently runs our country and much of the world, we must all make our voices heard, we must all join the battle for the greater good.<br />Dane Wigington<br /><br />To support Geoengineering Watch: <a href="http://www.geoengineeringwatch.org/support/">http://www.geoengineeringwatch.org/support/</a><br /><br />To receive Geoengineering Watch updates, please sign up for our mailing list: <a href="https://www.geoengineeringwatch.org/newsletter/">https://www.geoengineeringwatch.org/newsletter/</a><br /><br />The Catastrophic Consequences Of Climate Engineering: <a href="https://www.youtube.com/watch?v=kyxmrwbTKoM">https://www.youtube.com/watch?v=kyxmrwbTKoM</a><br /><br />The latest and most effective <a href="http://geoengineeringwatch.org/">GeoengineeringWatch.org</a> awareness raising materials can be found at the links below:<br />2 sided color glossy informational flyers: <a href="http://www.geoengineeringwatch.org/ads/">http://www.geoengineeringwatch.org/ads/</a><br />20 page fact and photo summary booklets: <a href="http://www.geoengineeringwatch.org/climate-engineering-fact-and-photo-summary/">http://www.geoengineeringwatch.org/climate-engineering-fact-and-photo-summary/</a><br /><br />To follow us on Facebook, click here: <a href="https://www.facebook.com/dane.wigington.geoengineeringwatch.org">https://www.facebook.com/dane.wigington.geoengineeringwatch.org</a><br /><br />To follow the latest <a href="http://geoengineeringwatch.org/">GeoengineeringWatch.org</a> videos please subscribe to our four youtube channels below:<br />Dane Wigington <a href="https://www.youtube.com/c/DaneWigington">https://www.youtube.com/c/DaneWigington</a><br />Geoengineering Watch <a href="https://www.youtube.com/c/GeoengineeringWatch">https://www.youtube.com/c/GeoengineeringWatch</a><br /><a href="http://geoengineeringwatch.org/">GeoengineeringWatch.org</a> <a href="https://www.youtube.com/c/GeoengineeringWatchOrg">https://www.youtube.com/c/GeoengineeringWatchOrg</a><br />Geo Watch <a href="https://www.youtube.com/c/GeoWatch">https://www.youtube.com/c/GeoWatch</a><br /><br />TO READ OR POST COMMENTS ON THIS VIDEO, PLEASE GO DIRECTLY TO THE ARTICLE <a href="http://www.geoengineeringwatch.org/cia-whistleblower-speaks-out-about-climate-engineering-vaccination-dangers-911-and-the-governments-persecution-of-truth-tellers/">http://www.geoengineeringwatch.org/cia-whistleblower-speaks-out-about-climate-engineering-vaccination-dangers-911-and-the-governments-persecution-of-truth-tellers/</a>	UC18-7qYJWAqM9eF1GvMn6Og	http://www.youtube.com/channel/UC18-7qYJWAqM9eF1GvMn6Og	0		
Ugzrpow-NM_LPDtonpx4AaABAg.8kEE4woUMJ08prBwkCtAfC		0	2019-01-08 19:44:29	Nigel Pettitt	I thought constitutional rights were inalienable? Sounds like the secrecy agreement is an illegal document.	UCZ96sboBZ5cwxpFGe-l70yQ	http://www.youtube.com/channel/UCZ96sboBZ5cwxpFGe-l70yQ	1	Ugzrpow-NM_LPDtonpx4AaABAg	Dane Wigington
Ugzrpow-NM_LPDtonpx4AaABAg.8kEE4woUMJ08pqUooCmi0o		0	2019-01-08 13:10:11	Dawn S. Tyler	Dane Wigington youtube	UC3zzoebh3v0PxDgBUkJLjog	http://www.youtube.com/channel/UC3zzoebh3v0PxDgBUkJLjog	1	Ugzrpow-NM_LPDtonpx4AaABAg	Dane Wigington
Ugzrpow-NM_LPDtonpx4AaABAg.8kEE4woUMJ08pnZKEaBlWx		0	2019-01-07 09:51:50	Hello I am Charlie	hasnt the govt shut him up yet or killed him?	UCxn--NU8ClEtQpYniqVefiA	http://www.youtube.com/channel/UCxn--NU8ClEtQpYniqVefiA	1	Ugzrpow-NM_LPDtonpx4AaABAg	Dane Wigington
Ugzrpow-NM_LPDtonpx4AaABAg.8kEE4woUMJ08plmVCXEwxX		0	2019-01-06 17:17:12	grey rain	Wow	UCjVY13xCuI73U3KBp0QYNvw	http://www.youtube.com/channel/UCjVY13xCuI73U3KBp0QYNvw	1	Ugzrpow-NM_LPDtonpx4AaABAg	Dane Wigington
Ugzrpow-NM_LPDtonpx4AaABAg.8kEE4woUMJ08pf1V-lGL2e		1	2019-01-04 02:22:17	Michele Kett	We must be fearless in the face of governments. Great video. I remember when we were first vaccinated. I was 7 years old. Not 8 weeks. This was in the ‘50’s. I did not vaccinate my children. It is unnecessary and and lethal. I am rarely sick, my children are much the same, but my grandchildren have weaker immune systems. Look around and see what is happening to children today. It’s obvious.	UCsdziwiHzeLq-40SNIBYMPg	http://www.youtube.com/channel/UCsdziwiHzeLq-40SNIBYMPg	1	Ugzrpow-NM_LPDtonpx4AaABAg	Dane Wigington
Ugzrpow-NM_LPDtonpx4AaABAg.8kEE4woUMJ08pXv72NXJ_5		0	2018-12-31 22:43:56	joe blow	at last, another govt worker with balls. May God grant you divine protection	UCrlBZ8lGViyQsoHqLcVo-VA	http://www.youtube.com/channel/UCrlBZ8lGViyQsoHqLcVo-VA	1	Ugzrpow-NM_LPDtonpx4AaABAg	Dane Wigington
Ugzrpow-NM_LPDtonpx4AaABAg.8kEE4woUMJ08oEdZbm2bSO		0	2018-11-29 14:33:35	HOH	It was Toto, a liitle dog exposed the weasel bully behind the curtain. But thinking you can click your red shoes into positivity and the world will be right is like putting blinders on a horse, maybe it works for the individual, maybe, but it doesn't work for society.	UClwL3WPYAf_fAH4cSx1TXTw	http://www.youtube.com/channel/UClwL3WPYAf_fAH4cSx1TXTw	1	Ugzrpow-NM_LPDtonpx4AaABAg	Dane Wigington
Ugzrpow-NM_LPDtonpx4AaABAg.8kEE4woUMJ08oEbtSFstV7		0	2018-11-29 14:18:57	HOH	Oh and the Tall Whites, they do love their children more than we love ours, let that grate on you a while. One hundred and fifty thousand children under five years of age go blind every YEAR due to preventable Vitamin A and Zinc deficiency (WHO). How many trillions do we spend on drugs and weapons?? We spend billions on pets. How about that new Tesla you are considering? Whoever is running this planet is not remotely benevolent, not even in the ballpark, nothing more than selfish little wizard sociopathic mobsters!	UClwL3WPYAf_fAH4cSx1TXTw	http://www.youtube.com/channel/UClwL3WPYAf_fAH4cSx1TXTw	1	Ugzrpow-NM_LPDtonpx4AaABAg	Dane Wigington
Ugzrpow-NM_LPDtonpx4AaABAg.8kEE4woUMJ08oEajeAeSwN		0	2018-11-29 14:08:52	HOH	"The very word secrecy is repugnant in a free and democratic society.". And a I repeat, 'pedophiles and sociopaths keep secrets, monsters, people with something horrible to hide.'. Humiliation and bullying are evil. Neil De Grasse Tyson humiliates abductees, while he can't sit properly in a chair with all his honorary Ph.d.'s, swinging his leg over the arm and excessively exposing his crotch. Over 30,000 people in the US alone have been abducted. Mark my words we are going to a hive mind; we will be telepathic, and the evil will be exposed and consumed. There will be no where to hide, not on Earth, not on this planet. I don't want a sociopathic pedophile representing our planet with interstellar relations, do you?	UClwL3WPYAf_fAH4cSx1TXTw	http://www.youtube.com/channel/UClwL3WPYAf_fAH4cSx1TXTw	1	Ugzrpow-NM_LPDtonpx4AaABAg	Dane Wigington
Ugzrpow-NM_LPDtonpx4AaABAg.8kEE4woUMJ08nsiPjSt2i6		0	2018-11-20 16:53:23	vm8444 0	Dane	UCX5TNZc6wGpmpGC84qMJEVg	http://www.youtube.com/channel/UCX5TNZc6wGpmpGC84qMJEVg	1	Ugzrpow-NM_LPDtonpx4AaABAg	Dane Wigington
Ugzrpow-NM_LPDtonpx4AaABAg.8kEE4woUMJ08nsOLCU5oAC		0	2018-11-20 13:49:16	nucleardubs	geoengineering is a psyop to put a happy face on chemtrails	UCmz5tV6GFVSBmkWy58DvwrA	http://www.youtube.com/channel/UCmz5tV6GFVSBmkWy58DvwrA	1	Ugzrpow-NM_LPDtonpx4AaABAg	Dane Wigington
Ugzrpow-NM_LPDtonpx4AaABAg.8kEE4woUMJ08nllWq9_oP3		0	2018-11-18 00:05:53	Mate Matangi	Dane Wigington	UClOcBJc0wVrrlByseYhKZGA	http://www.youtube.com/channel/UClOcBJc0wVrrlByseYhKZGA	1	Ugzrpow-NM_LPDtonpx4AaABAg	Dane Wigington
Ugzrpow-NM_LPDtonpx4AaABAg.8kEE4woUMJ08n3YBNt-8PJ		0	2018-10-31 10:34:48	Mickey Mouse	Who cares, nothing is gonna change anything no matter how many speeches or videos you give.	UC95C2we47FONAwyH-fHX0IA	http://www.youtube.com/channel/UC95C2we47FONAwyH-fHX0IA	1	Ugzrpow-NM_LPDtonpx4AaABAg	Dane Wigington
Ugzrpow-NM_LPDtonpx4AaABAg.8kEE4woUMJ08kh1xosLEUn		1	2018-09-02 14:27:52	GroundZeroHiroshima	Right after I left comments at this video, so many mind controlled perps here in Maizuru, Kyoto, started COINTELPRO stalking against me at the shopping mall, at the library, wherever I go. This tells us that the Climate Climate Engineering and Vaccination Dangers are indeed "incovenient truth" here in Japan, too.	UCa4g_I2B2IP47XO9NXupmiw	http://www.youtube.com/channel/UCa4g_I2B2IP47XO9NXupmiw	1	Ugzrpow-NM_LPDtonpx4AaABAg	Dane Wigington
Ugzrpow-NM_LPDtonpx4AaABAg.8kEE4woUMJ08kU5Ml4vzl1		13	2018-08-28 04:28:16	Hooha888	At 22:40 Kevin mentions you in his speech. You must be making an impact, good job.	UC-qLKH06iV4vUs7JofdWD7g	http://www.youtube.com/channel/UC-qLKH06iV4vUs7JofdWD7g	1	Ugzrpow-NM_LPDtonpx4AaABAg	Dane Wigington
UgwipPpgtOcNX_v23M54AaABAg	0	11	2019-10-30 19:07:27	Patti	What a brave guy.	UCg_SCCtNKTznSyMDwVjQbdA	http://www.youtube.com/channel/UCg_SCCtNKTznSyMDwVjQbdA	0		
UgxSito3knuvPLjGnlN4AaABAg	0	11	2019-08-03 23:01:54	hank fontaine	Tell lie vision did they ever tell the truth bout any war ever ever	UC9rfu9Tj06kg3ry24PdP5DA	http://www.youtube.com/channel/UC9rfu9Tj06kg3ry24PdP5DA	0		
UgznOXljUeh_0VkEKaB4AaABAg	0	10	2019-08-03 22:10:18	hank fontaine	This world is drunk on idolatry	UC9rfu9Tj06kg3ry24PdP5DA	http://www.youtube.com/channel/UC9rfu9Tj06kg3ry24PdP5DA	0		
UgwNYPKFo0WH9XzPreJ4AaABAg	0	5	2019-08-03 21:59:28	hank fontaine	Blessed be the good centurions blessed be	UC9rfu9Tj06kg3ry24PdP5DA	http://www.youtube.com/channel/UC9rfu9Tj06kg3ry24PdP5DA	0		
UgyWWCnzh13DUv6MsPl4AaABAg	0	13	2019-07-31 17:01:47	Rick01650	In the end, it all comes down to one thing: government is slavery.	UCtfTHVMwx6XNjLksQwhQ-WA	http://www.youtube.com/channel/UCtfTHVMwx6XNjLksQwhQ-WA	0		
Ugxh8S-UPk7MUCYOPZx4AaABAg	0	3	2019-07-10 15:10:15	Rodney Stewart	👍👍👍👍👍👍👍🙏	UCNExx7_ZB7HAz0oh6Jnj2Qw	http://www.youtube.com/channel/UCNExx7_ZB7HAz0oh6Jnj2Qw	0		
Ugz6DbKeA4YW5WDxx_V4AaABAg	0	2	2019-06-27 14:24:40	Eduardo Ondo	Was he talking about the NY time?	UCpK38ADq7eO30-TTz3G1dQw	http://www.youtube.com/channel/UCpK38ADq7eO30-TTz3G1dQw	0		
Ugxx_l9wR3TjCS_XIdx4AaABAg	0	13	2019-05-05 15:48:38	Senaida Poulsen	Shared on Facebook<br />God bless you for Sharing the truth	UCWC3Q2tDLZgV4Oa4z7kRrjQ	http://www.youtube.com/channel/UCWC3Q2tDLZgV4Oa4z7kRrjQ	0		
UgxseNWg93RJdxTmOid4AaABAg	0	8	2019-03-22 12:51:28	Geodin YERKOBO	Thank you very much for shading light on these issues. Systems don&#39;t rule Mankind. Mankind defines its systems, and we need to stand and talk and denounce any system which doesn&#39;t serve for good.	UCwG5djareM_8_Xp4CTjd86g	http://www.youtube.com/channel/UCwG5djareM_8_Xp4CTjd86g	0		
Ugy_L0fd6ccujKF-z5h4AaABAg	0	24	2019-03-19 15:07:21	Robby Combs	This man has balls of steel...I wonder if he is still alive?	UCNClKAH_JWLwHyrpxJsCcyA	http://www.youtube.com/channel/UCNClKAH_JWLwHyrpxJsCcyA	0		
UgwW2Yc6R-vPSe0qIsd4AaABAg	0	22	2019-03-05 05:39:54	B Biggs	He forgot to add <br />the fda &amp; ftc &amp; fcc<br />to the criminals list.!	UCRHesjjBEetS9TPycYb9rXg	http://www.youtube.com/channel/UCRHesjjBEetS9TPycYb9rXg	0		
Ugzc65WxzUNjEq4LWiN4AaABAg	0	18	2019-03-03 18:37:05	zezt zezter	<a href="https://www.youtube.com/watch?v=Nl5NW9KcMt0&amp;t=17m53s">17:53</a> notice he has to say &#39;driven to suicide&#39; when he will fully well know they were &#39;suicided&#39;!!!	UC7mth2CiTij3DwMT2NQLlpw	http://www.youtube.com/channel/UC7mth2CiTij3DwMT2NQLlpw	0		
Ugwu-KwxOJFMoYWsPu14AaABAg	0	40	2019-02-26 13:54:51	John Strand	This man is not describing a government. He is describing Organized Crime that none of us want nor should stand for.	UCdPEYLte68_3qyPFoaSARgw	http://www.youtube.com/channel/UCdPEYLte68_3qyPFoaSARgw	0		
UgxOgRF1nhKB61m_oY14AaABAg	0	12	2019-02-26 13:03:20	John Strand	We can all see the spraying so where is the Air Force that is PAID to protect the skies? They sure aren&#39;t protecting us so they have to be the problem very much like we all witnessed on 911.	UCdPEYLte68_3qyPFoaSARgw	http://www.youtube.com/channel/UCdPEYLte68_3qyPFoaSARgw	0		
