id	TCy_UOjEir0
published	2015-07-13 03:15:37
published_unix	1436757337
title	Nobel Laureate Smashes the Global Warming Hoax
description	1000Frolly channel relies on your generosity and support to keep up the fight against the forces of pseudo-science. Please assist of you can; Patreon https://www.patreon.com/1000Frolly Or buy a nice gift for a loved one from my ETSY shop; https://www.etsy.com/au/shop/1000FrollyPhD Nobel laureate Ivar Giaever's speech at the Nobel Laureates meeting 1st July 2015. Ivar points out the mistakes which Obama makes in his speeches about global warming, and shares other not-well known facts about the state of the climate. Copyright is owned by 2015 Council for the Lindau Nobel Laureate Meetings. This is for educational purposes only and is not a commercial use. According to their terms (See end of video) Lindau allow non-commercial sharing and embedding of this video.
channelId	UCAR0Oi4L0Om4F26uwpANgCg
channelTitle	1000frolly PhD
duration	PT29M48S
dimension	2d
definition	hd
caption	false
allowedIn	
blockedIn	
licensedContent	
viewCount	1775393
likeCount	22479
dislikeCount	4471
favoriteCount	0
commentCount	12729
uploadStatus	processed
privacyStatus	public
license	youtube
embeddable	1
publicStatsViewable	1
