"","Author","Commnum"
"1","wong",1175
"2","Webe Free",978
"3","Rick Kooi",764
"4","robert hicks",661
"5","1000frolly PhD",633
"6","SwiftlyTiltingPlanet",604
"7","Ragnaar Minnesota",436
"8","Aanthanur DC",431
"9","jmuld1",416
"10","Captain Dumbass",376
"11","allgoo19",369
"12","Kyle Towers",331
"13","fynes leigh",317
"14","VeryEvilPettingZoo",316
"15","kim weaver",309
"16","Blue",274
"17","Steve Dekker",267
"18","The Fat Theist",264
"19","Serge Mooyman",257
"20","Suspicious0bservers",253
"21","Luke Kerr",247
"22","Atomsk's Sanakan",241
"23","Bob Phin",239
"24","PrairleDoggedRez",227
"25","David Brace",216
"26","5000Kone",184
"27","Andy Prosseda",167
"28","Dale Ruff",166
"29","Mr Cabot",165
"30","Cameron Pangborn",158
"31","Franz Maier",152
"32","YTEdy",151
"33","Dale Smith",139
"34","Rick TD",136
"35","Stormy Sampson",135
"36","James Clark",124
"37","Eric",119
"38","longliverocknroll5",118
"39","Zoe Phin",118
"40","davetileguy",117
"41","ApolloWasReal",112
"42","Aaron Kuhlman",110
"43","Guy Atkins",108
"44","Martin Hearn",107
"45","louiscypher1001",105
"46","橋本絵莉子",101
"47","Indio Side",100
"48","CAGW Scam",98
"49","James Robert Clark",98
"50","Georg Spengler",96
"51","Jenn smith",96
"52","Sean Hollingsworth",96
"53","vidfreak56",96
"54","paul smith",92
"55","Jon Wo",91
"56","Gladescat",89
"57","Leehamism",88
"58","D.a .n.a",87
"59","Jeff Novack",86
"60","Ródrigo",86
"61","thinkerly1",85
"62","Bob Judd",84
"63","LIBERAL NPC",84
"64","R. E. Heubel",84
"65","I Vuz Gassed Six, No, Twelve Times!",82
"66","pale blue dot",81
"67","Crystal Giddens",80
"68","Double D",80
"69","Tom B",80
"70","Big Gav 74",79
"71","Arion Erron",76
"72","snuffeldjuret",75
"73","iAwakeCA",74
"74","Him Bike",73
"75","Uzziya",72
"76","Hl A",71
"77","MauriatOttolink",71
"78","Crazyworld Larue",69
"79","Going To Getugly",69
"80","Stephen Nielsen",68
"81","Thomas Cha",67
"82","James Brice",66
"83","sabin97",66
"84","xchopp",66
"85","Stroheim333",65
"86","C_R_O_M__________",64
"87","Timothy E Hook",64
"88","remake it",62
"89","StormSignal",62
"90","Taku Ito Ito",62
"91","Alex Ocasio-Gomez",61
"92","demigodzilla",61
"93","paul mortimer",61
"94","Scott Wallace",61
"95","CiPhEr505",60
"96","RedXlV",60
"97","Kyn Chan",59
"98","Pragmatism Pugilism",58
"99","zdcyclops1 lickley",58
"100","Chris Thompson",56
