video,bigram,n,tf,idf,tf_idf
ZDK1aCqqZkQ,kã o,364,4.5261584603103154e-4,2.302585092994046,0.0010421864999239415
ZDK1aCqqZkQ,o kã,363,4.5137239590457265e-4,2.302585092994046,0.0010393233501988757
EhW-B2udhQw,jim battersbee,47,4.2598702099119024e-4,2.302585092994046,9.808713643432564e-4
fA5sGtj7QKQ,webe free,297,3.895674620663603e-4,2.302585092994046,8.970122308695247e-4
fA5sGtj7QKQ,giant sloth,254,3.331654389389074e-4,2.302585092994046,7.671417732015462e-4
m0sY2tjmr,bob judd,60,3.2213554389902123e-4,2.302585092994046,7.417445013054154e-4
OwqIy8Ikv-c,wrong wrong,728,9.456657850844604e-4,0.6931471805599453,6.554855726833009e-4
EhW-B2udhQw,tony collyweston,41,3.7160569916252763e-4,1.6094379124341003,5.980763007087527e-4
UGqcweY1a3I,big gav,50,3.6449790413705123e-4,1.6094379124341003,5.866367459209405e-4
UGqcweY1a3I,gav 74,49,3.572079460543102e-4,1.6094379124341003,5.749040110025217e-4
fA5sGtj7QKQ,à à,176,2.308547923356209e-4,2.302585092994046,5.315628034782368e-4
oYhCQv5tNsQ,oyhcqv5tnsq amp,167,3.296623034117087e-4,1.6094379124341003,5.305710094111575e-4
fA5sGtj7QKQ,man farts,174,2.282314424227161e-4,2.302585092994046,5.25522317075075e-4
OwqIy8Ikv-c,ragnaar minnesota,247,3.2085089136794193e-4,1.6094379124341003,5.163895888058408e-4
fA5sGtj7QKQ,man hunts,170,2.2298474259690654e-4,2.302585092994046,5.134413442687514e-4
EhW-B2udhQw,philip shehan,35,0.00031722437733386507,1.6094379124341003,5.105529396294232e-4
NYoOcaqCzxo,rick kooi,110,7.29791412345417e-4,0.6931471805599453,5.058528598640862e-4
m0sY2tjmr,dan pena,99,5.31523647433385e-4,0.9162907318741551,4.8703019191515673e-4
fA5sGtj7QKQ,ff industries,160,2.0986799303238264e-4,2.302585092994046,4.8323891225294255e-4
NYoOcaqCzxo,no views,43,2.8528209755320844e-4,1.6094379124341003,4.5914382354085716e-4
