id	replyCount	likeCount	publishedAt	authorName	text	authorChannelId	authorChannelUrl	isReply	isReplyTo	isReplyToName
UgzjVvvUrQMhSqzJal94AaABAg	0	0	2020-03-02 18:10:41	Nick Schroeder	Fact 1: By reflecting away 30% of the ISR the albedo &amp; atmosphere that creates it together make earth cooler not warmer. RGHE has it wrong. <br /><br />Fact 2: Because of the significant non-radiative heat transfer participation of the contiguous atmospheric molecules, BB LWIR upwelling &quot;extra&quot; energy from the surface for GHGs to &quot;trap&quot; is not possible. RGHE has it wrong. <br /><br />Fact 3: No &quot;extra&quot; energy for GHGs means they cannot create any terrestrial warming. This hypothetical GHG warming loop also violates conservation of energy, perpetual motion and cold to hot without work. RGHE has it wrong. <br /><br />Fact 4: Zero RGHE = Zero GHG terrestrial warming = Zero man caused global warming or climate change. <br /><br />I don&#39;t explain acronyms. If you have done the homework you know what they mean. If you haven&#39;t done the homework - shut up!	UC6YM_zNbkXJ_ZBhC3MyjmPw	http://www.youtube.com/channel/UC6YM_zNbkXJ_ZBhC3MyjmPw	0		
UgyIEYxKdHSSLKoInJZ4AaABAg	0	0	2019-12-24 11:41:43	Monk Petite	nice explanations, I agree with their studies about what is bad science. I doubt global warming is will destroy us according to the left- e liberals. <br />But with a slight temperature raise we need to be prepared. <br />One point five degree raise will change our way of life. And thats the change we need to accept as a fact upcoming. <br />The IPCC 2019 report does point out that we have to be prepared to tackle the challenges on a wide spread eco systems. We need to clean up the mess we made and be more conservative about the use of fossil fuels. Fuels we need to share with population growth world wide. We need clean air everywhere! We need clean plastic free oceans full of fish. <br />co2 we need . For sample, to make more forest ecosystems to reduce droughts and fires, we need to protect the forest we have left and make sure we forest for wood production. The same needs are there for farm land and food production. <br />The mess we made need to be attended and cleaned up.	UCZ3LgupqkVAjhWj5s2TZhGA	http://www.youtube.com/channel/UCZ3LgupqkVAjhWj5s2TZhGA	0		
UgzEt01idyGwku7ZdPd4AaABAg	0	0	2019-10-14 19:04:54	Graham Number7	You can tell by the clapping if they held up a turf and pointed at it and said this is grass they&#39;d be just as zoned out. Maybe try emoji icons or something to represent science for the sheep. Sheep like to eat grass so maybe worth a go. The same sheep are bought up on a culture of white middle aged men being all bad. Just look at Hollywood and all of the media the clueless left control. Last star wars anyone? You would hope the push of excluding white, wise men out of society would not extend to science.<br />Edit - does it sound like the mic gain was turned down for these guys? It&#39;s another trick used to manipulate impact. The left did it with an interview between Jordan Peterson and a feminist.	UC_Wc0Fg54cK4LbeHQ0-4fXw	http://www.youtube.com/channel/UC_Wc0Fg54cK4LbeHQ0-4fXw	0		
UgxKGBvkZF7JnHY6cYx4AaABAg	0	0	2019-10-05 20:11:44	Gender Politik	Die von Youtube und Wikipedia zwangsweise angehängten Kommentare sind Lügen. Sie sind der Versuch zu verhindern, dass wir uns eine eigene, freie Meinung bilden und der Ausdruck eines totalitären Weltbildes. Wissenschaft kann nicht zwangsverordnet werden. Wikipedia ist eine Lügenplattform geworden.	UCqYKAWM1xd024Vd9osC6IoA	http://www.youtube.com/channel/UCqYKAWM1xd024Vd9osC6IoA	0		
Ugyk9r7hbeYhSR48cjt4AaABAg	0	1	2019-09-30 08:05:41	Patrick LaBelle	I like to call them them &quot;climate hysterics&quot; instead of &quot;climate warmists&quot;.	UCTT9KtB4ddp9GzNbHW62-GA	http://www.youtube.com/channel/UCTT9KtB4ddp9GzNbHW62-GA	0		
UgyAZg1CBqr_c8GTmOJ4AaABAg	0	0	2019-09-24 16:51:31	Glenn Meldrum	FAKE NEWS!	UCCHoE6rQuS_fOzScUzIXasQ	http://www.youtube.com/channel/UCCHoE6rQuS_fOzScUzIXasQ	0		
Ugy7-he_0fuSpRzE1-Z4AaABAg	0	1	2019-07-26 22:18:02	Ole Stilling	What a load of bull. And by the way the PhD stuff. My cat has a better education.	UC8khCivuqBV_gG_mEkmIbSg	http://www.youtube.com/channel/UC8khCivuqBV_gG_mEkmIbSg	0		
UgzkDZbUQPonQVDAhex4AaABAg	0	2	2019-07-24 15:12:50	Jeff Smith	Who? Do these people have names/ credentials? 🤣	UCgCjsRhngT3z5h6TL0Vz-MQ	http://www.youtube.com/channel/UCgCjsRhngT3z5h6TL0Vz-MQ	0		
UgwL4FmCObCQ-owh6pR4AaABAg	0	2	2019-07-20 16:22:17	Riggald	How does being a rocket scientist make you a qualified climatologist?	UC0CS4D3JolBwSxlYsYBMU-w	http://www.youtube.com/channel/UC0CS4D3JolBwSxlYsYBMU-w	0		
UgxDeQo6DDT6dxTeFcx4AaABAg	0	2	2019-07-07 16:31:39	ecbravo999	Its not about science its about redistributing wealth from the dumb masses to the rich...	UCP68chquLBdvsPaVdUTLETQ	http://www.youtube.com/channel/UCP68chquLBdvsPaVdUTLETQ	0		
