word,n
co2,16287
br,13868
quot,7716
https,7631
evidence,6073
video,4373
i'm,4146
http,4109
ðÿ,3515
fossil,3490
guy,3302
truth,3235
href,2692
lol,2511
etc,2269
models,2217
fuel,2195
due,2027
fuels,1908
ipcc,1907
peer,1895
dioxide,1623
simply,1611
trump,1577
per,1503
dr,1474
future,1458
public,1455
deniers,1433
idiot,1410
physics,1279
i've,1243
model,1215
cycles,1161
cycle,1155
deny,1139
ok,1114
re,1081
videos,1026
bs,946
i'll,938
experts,918
denier,916
stuff,914
guys,910
idiots,907
fox,904
un,896
species,884
c02,845
wow,818
iâ,816
dumb,809
temps,803
temp,802
bill,786
fuck,782
ppm,759
expert,743
fool,690
zero,662
im,655
dude,632
mr,620
et,600
koch,593
debunked,581
quote,578
phd,565
nye,533
u.s,521
i'd,520
joke,513
el,510
btw,505
evil,503
de,500
multiple,500
wiki,497
lose,474
bunch,473
silly,466
rick,458
ph,456
policy,452
pdf,447
possibly,447
co,446
pole,434
spent,430
truly,430
complex,421
poles,420
kids,414
ºðÿ,414
universe,410
survey,407
shut,404
tried,395
destroy,393
vs,393
drought,392
ve,390
plenty,382
"10,000",381
net,380
fix,377
expensive,376
kã,376
prize,375
survive,370
bible,368
pure,368
perfect,363
respect,360
bob,352
steve,352
uk,351
loss,349
gullible,344
refute,335
i.e,329
clue,326
cult,325
vote,321
gw,320
mid,320
ff,319
role,316
yep,314
hicks,309
reference,309
built,305
droughts,301
fools,301
tv,299
sir,294
rely,291
destroyed,285
flood,279
kid,279
kooi,277
pre,275
efficient,274
folks,274
project,274
mike,273
policies,273
joe,272
pro,272
debunk,270
smog,261
scott,258
20th,257
spencer,255
html,253
reject,252
perspective,250
equilibrium,246
floods,244
perfectly,243
jet,242
ur,242
refer,241
smoke,238
promote,237
eric,235
3rd,233
kyle,232
wtf,231
rid,229
movie,228
1st,227
9xiptqblr5y,227
o2,227
ll,226
1970s,224
peter,222
pollute,222
roy,220
luck,219
ill,218
tim,218
70s,215
progress,215
