id	ZDK1aCqqZkQ
published	2017-05-02 02:07:48
published_unix	1493690868
title	ACTUAL SCIENTIST: "Climate Change is a Scam!"
description	In a very special #LwC, for one full hour, we sat down with Dr. Patrick Moore, PHD in Ecology and founder of Greenpeace, and dissected the scam that is modern "climate change". Take media back and join the Mug Club: http://louderwithcrowder.com/mugclub Use promo codes "student" "veteran" "military" to get daily access for $69/year! Shop the official #LWC store: http://louderwithcrowdershop.com More at http://louderwithcrowder.com Follow me on Twitter: https://twitter.com/scrowder Like me on Facebook: https://www.facebook.com/stevencrowde... Follow me on Vine: https://vine.co/u/1136892885917368320 Check out more of my videos! Crowder CRASHES Feminist #DayWithoutAWoman Insanity! https://www.youtube.com/watch?v=07Gcmnmz5S0 Crowder Crashes a Feminist Film Festival in Underwear! https://www.youtube.com/watch?v=aWJT0egzAy0 Cenk Uygur #SXSW Panel CRASHED by Crowder... As Cenk Uygur https://www.youtube.com/watch?v=PMSRAz2VZqk #InternationalWomensDay Apocalypse Begins! https://www.youtube.com/watch?v=n0c3ReasoY8 BUZZFEED REBUTTAL: Plus-Sized SJW Propaganda https://www.youtube.com/watch?v=FJq0HyK6tn4 Pop culture and politics from the most politically incorrect comedy channel on the web. Hippies and Muslims hate me!
channelId	UCIveFvW-ARp_B_RckhweNJw
channelTitle	StevenCrowder
duration	PT45M48S
dimension	2d
definition	hd
caption	false
allowedIn	
blockedIn	
licensedContent	
viewCount	1416976
likeCount	38483
dislikeCount	8164
favoriteCount	0
commentCount	16124
uploadStatus	processed
privacyStatus	public
license	creativeCommon
embeddable	1
publicStatsViewable	1
