word,n
http,64863
br,22145
co2,18594
quot,11983
https,9437
evidence,7135
video,5310
guy,4364
fossil,3957
ðÿ,3903
href,3865
uc,3824
truth,3778
im,3693
lol,2946
etc,2600
fuel,2479
models,2467
due,2368
peer,2235
fuels,2176
ipcc,2098
i'm,2081
re,2047
dr,1962
dioxide,1915
simply,1898
trump,1828
future,1733
public,1700
idiot,1695
per,1683
deniers,1660
phd,1513
physics,1465
ucszhw02czww8_dnebb_xxlq,1414
deny,1395
cycle,1364
cycles,1364
model,1348
rick,1339
videos,1336
ok,1334
bill,1305
guys,1156
experts,1135
fox,1126
stuff,1116
denier,1102
bs,1080
idiots,1075
species,1063
mr,1056
fuck,1052
un,1020
uct9uyyrv76hirb_2mkix47g,1008
mike,1007
c02,948
dumb,948
wow,939
expert,934
ive,927
bob,911
temp,891
ve,881
iâ,873
steve,863
scott,857
ill,850
dude,848
nye,845
temps,845
ucdbhd9vl3ymj1uhp6pypzxg,836
ppm,824
kooi,805
fool,773
de,771
uc0tpdvg3xilwzmjbdjznw5g,762
zero,755
joe,735
peter,721
hicks,719
debunked,690
et,671
quote,654
dc,653
el,651
koch,636
eric,628
i've,624
wiki,613
ugg,607
u.s,602
evil,601
btw,597
ll,588
joke,583
jim,582
multiple,581
jeff,573
co,570
bunch,568
lose,565
id,553
ph,552
policy,548
kyle,545
ugzudcibrkq,544
pdf,540
spent,536
silly,531
possibly,528
tim,516
kids,513
bktq,504
universe,504
truly,499
poles,492
ugy,491
complex,486
pole,486
fix,482
shut,476
vs,475
destroy,473
tried,471
survey,470
bible,459
i'll,454
net,443
plenty,442
survive,439
respect,427
drought,426
uch,426
ucluzuxpevsirem6ncyc95eg,426
perfect,421
prize,421
pure,417
ºðÿ,416
"10,000",411
roy,411
expensive,405
ucju9_6szcur,404
uk,401
i.e,397
loss,396
cult,395
9xiptqblr5y,388
refute,385
kã,383
clue,379
jmuld1,379
vote,375
gullible,371
sir,370
pro,365
mid,364
destroyed,363
role,363
reference,361
tv,358
flood,355
gw,354
built,351
spencer,351
nick,350
dekker,346
droughts,344
yep,344
debunk,342
rely,341
folks,340
fools,338
efficient,337
8s418v2r,335
1970s,332
kid,331
project,330
ucr,330
roger,326
70s,325
html,324
ff,319
ugje,318
jet,316
serge,309
policies,308
pre,307
n6w,306
20th,304
perfectly,303
reject,300
smog,298
o2,293
refer,289
promote,288
wtf,287
bike,285
kim,285
ed,284
ghq8wxfpm6eow5ymxozlg,284
perspective,284
uck31ntp601oihoiewzrb_6q,284
floods,282
uciejkfijydjbdwfozlxsykg,282
uqspq,282
x1uibiwx1qoiiq,282
rob,281
buddy,280
hurt,277
rid,275
fynes,273
8kvrfb6cfb,272
ugzwgz3vyjefhrex,272
luke,271
pollute,270
colimodio,269
equilibrium,268
3rd,267
leigh,267
smoke,267
joseph,263
sick,262
movie,260
denies,258
rodriguez,256
ugw,256
gt,254
progress,253
unprecedented,253
luck,250
ur,250
cnn,247
1st,242
en,242
greed,241
ie,239
ugz,239
church,238
ucjdtrirjzspmssutspcybpw,238
dirty,237
td,235
prefer,234
idiotic,232
tech,230
fed,228
holy,227
ir,226
bc,224
huh,223
loser,223
projected,223
film,222
yrs,222
hide,221
series,220
terrible,220
cosmic,218
h2o,218
i'd,218
kerr,217
suffer,217
ugh,216
roughly,215
references,214
xd,214
oyhcqv5tnsq,211
reefs,211
spectrum,211
grid,210
excess,208
"100,000",207
pockets,207
mgvud,206
ugw9s6,206
w4z,206
denied,204
till,204
8cxivh7c,202
debt,202
wp,202
respected,201
frozen,200
uczp8szowhn9jeqdim2kmzhg,200
frequency,199
_vtb8gdtu84f9gteq,198
junk,198
projects,198
proxy,198
tide,198
ucrhpf,198
eh,197
neil,197
ruff,197
ex,195
bull,194
e.g,193
ovkw6yjqsfm,193
tilt,193
ken,192
nuts,192
terry,192
petroleum,191
cc,190
philip,190
ghg,189
suck,189
ugzo,189
lee,188
erik,186
jets,186
reflect,186
civil,185
holocene,185
jr,185
uccxyzoud_iyuhvyvyc6okwq,185
ugh3,185
multi,183
2nd,182
eco,182
refuted,182
utter,182
firm,181
bro,179
recognize,179
hydrogen,178
publicly,178
july,177
ch4,175
omg,175
rss,175
tries,174
lung,173
duh,172
greedy,172
judge,172
trick,172
pr,171
www.ipcc.ch,171
curry,170
quoted,170
june,169
polluted,169
vehicles,169
80s,167
uv,167
polluters,166
iq,165
ugxqvkfm05wfxrw,165
evolved,164
secret,164
timothy,164
burden,163
geo,162
nut,162
sufficient,162
reef,161
ugwgqr8yvudjd2,160
ytedy,159
club,158
greg,158
josh,158
pump,158
yo,158
sex,157
voted,157
zoe,157
19th,156
ppl,156
ps,156
miller,155
utterly,155
council,154
hidden,154
ii,154
90s,153
dems,153
ughodc1df9hh,153
vested,153
npc,152
stuck,152
commie,151
chose,150
odd,150
tyler,150
1800s,149
yt,149
1.5,148
400ppm,148
curve,148
ross,148
21st,147
eu,147
hmm,147
sub,147
kool,146
quotes,146
nwo,145
yr,145
bud,144
uc1oegijjkcj1fpuimtx7jmq,144
ugj,144
fucked,143
losses,143
guest,142
hook,142
spew,142
genereux,141
lecture,141
rã,141
dense,140
flooded,140
gulf,140
billy,139
truths,139
dick,137
pot,137
proud,137
structure,137
dig,136
french,136
jenn,136
0.1,135
ãƒ,135
birth,135
imply,135
lucky,135
phil,135
ugwdm1,135
1950s,134
elected,134
rejected,134
0.04,133
msm,133
ph.d,133
trumps,133
swyu,132
hydro,131
reflected,131
poll,130
sjw,130
lock,129
rkdbsxyxftc,129
"1,000",128
destructive,128
hi,128
mb,128
surveys,128
judd,126
thumbs,126
proxies,125
uniikkiz,125
dire,124
siri,124
spengler,124
ted,124
tho,124
ucdnwnhbumqxnbdjvjhn,124
ugjz_jqtgfkc,124
ukg,124
chosen,123
gee,123
employed,122
erieott,122
whilst,122
bruce,121
jose,121
subsequent,121
ugyzjsyssufpn,121
"15,000",120
br1jshyyvlffw,120
cfcs,120
depth,120
ucjxqrywgpu6jiizf5p,120
ucqnv7uxnc,120
votes,120
5th,119
defense,119
dump,119
kelly,119
1990s,118
culture,118
silence,118
spike,118
host,117
hype,117
jesse,117
ole,117
skew,117
text,117
frequently,116
techniques,116
derek,115
hurts,115
niã,115
thru,115
violence,115
0.3,114
bubble,114
frequent,114
hmmm,114
mm,114
qot86n361pmtfidhw,114
thrive,114
uc3cnp,114
ucx4hdt8,114
bills,113
screw,112
tcy_uojeir0,112
cure,110
debunks,110
guilty,110
mild,110
progressive,110
robotguy,110
uh,110
8lf4uo,109
jews,109
sensible,109
vehicle,109
5gjzoxw,108
89qgcqbgb,108
derived,108
efficiency,108
uc90hbzjw9qbuw40,108
yields,108
click,107
idiocy,107
jpg,107
loose,107
ugyeyys_tfsx,107
bbc,106
brief,106
hiv,106
loop,106
preece,106
utsb,106
1960s,105
1â,105
fossils,105
fudged,105
img,105
pocket,105
purely,105
tropics,105
ugwq8lfwwob9i,105
empty,104
evident,104
10.1088,103
æœ,103
motive,103
vid,103
refugees,102
sucks,102
wobble,102
expense,101
motives,101
1996.6,100
82gw2yq52o37,100
bomb,100
deluded,100
em,100
fixed,100
phds,100
refers,100
survived,100
ucpddpjg_r1xrysxxt97fmjw,100
um,100
å­,99
b.s,99
çµµèž,99
negligible,99
pop,99
remotely,99
cuz,98
genetic,98
glenn,98
screen,98
sulfur,98
2015.7,97
jerry,97
owqiy8ikv,97
peers,97
sceptics,97
suicide,97
