word1;word2;n
climate;change;15928
global;warming;12749
fossil;fuels;3295
ice;age;2047
climate;scientists;2001
peer;reviewed;1784
sea;level;1645
greenhouse;gases;1599
al;gore;1584
carbon;dioxide;1545
global;temperature;1308
climate;science;1248
co2;levels;987
patrick;moore;805
greenhouse;effect;743
scientific;consensus;742
co2;emissions;734
water;vapor;624
oil;companies;617
scientific;community;580
carbon;tax;572
global;cooling;569
level;rise;569
human;activity;505
ice;caps;494
sea;ice;493
fox;news;456
global;climate;450
atmospheric;co2;446
fuel;industry;437
bill;nye;435
industrial;revolution;417
scientific;method;416
cato;institute;405
anthropogenic;climate;399
climate;models;399
common;sense;392
scientists;agree;381
human;caused;372
ice;core;370
surface;temperature;352
green;house;348
vast;majority;348
ice;ages;343
solar;minimum;338
renewable;energy;336
average;temperature;331
richard;lindzen;326
scientific;evidence;323
real;science;314
solar;activity;307
oil;industry;299
webe;free;297
fake;news;291
ozone;layer;291
el;nino;287
robert;hicks;286
warm;period;280
anthropogenic;global;275
rick;kooi;275
green;energy;269
polar;bears;268
nobel;prize;264
ocean;acidification;264
koch;brothers;257
polar;ice;257
ragnaar;minnesota;257
scientific;papers;256
giant;sloth;254
change;deniers;252
ivar;giaever;252
solar;panels;249
warming;climate;248
warming;trend;248
nuclear;power;241
burning;fossil;239
computer;models;239
solar;system;239
empirical;evidence;237
grand;solar;237
world;wide;236
ice;sheets;235
97;consensus;229
20th;century;227
carbon;emissions;225
acid;rain;222
flat;earth;221
ice;cores;219
warming;quot;219
greenhouse;gasses;218
satellite;data;217
national;academy;215
temperature;increase;211
scientific;literature;208
temperature;rise;208
agenda;21;207
human;activities;207
conspiracy;theory;204
heartland;institute;204
solar;energy;203
