word1,word2,n
climate,change,98
ice,sheet,39
sea,level,37
global,warming,34
black,holes,27
billion,dollars,25
black,hole,22
sea,ice,22
billion,people,21
global,commons,21
food,system,20
million,people,20
developing,world,19
national,park,18
poor,people,18
time,lapse,18
level,rise,17
liquid,metal,17
south,bronx,17
carbon,dioxide,16
ice,sheets,16
hydrogen,sulfide,15
laughter,applause,15
nitric,oxide,15
renewable,energy,15
world,war,15
united,nations,13
human,rights,12
national,geographic,12
solar,system,12
wal,mart,12
90,percent,11
climate,crisis,11
climate,models,11
million,dollars,11
periodic,table,11
polar,bears,11
10,percent,10
developing,countries,10
fossil,fuels,10
greenhouse,gases,10
heart,disease,10
40,percent,9
bad,news,9
geo,engineering,9
google,earth,9
greenland,ice,9
mass,extinctions,9
ooh,ooh,9
organized,crime,9
ozone,layer,9
sustainable,development,9
19th,century,8
50,million,8
50,percent,8
abalone,shell,8
ah,ah,8
blood,pressure,8
bottom,line,8
co2,emissions,8
complex,systems,8
eastern,europe,8
genetically,engineered,8
greenhouse,gas,8
leopard,seals,8
life,support,8
metal,battery,8
oil,spills,8
operating,space,8
safe,operating,8
start,thinking,8
support,system,8
10,times,7
20,percent,7
21st,century,7
25,percent,7
500,million,7
70,percent,7
chris,anderson,7
developed,world,7
golden,rule,7
huge,amount,7
montreal,protocol,7
planet,earth,7
san,francisco,7
treaty,based,7
war,ii,7
100,percent,6
15,percent,6
80,percent,6
al,gore,6
alexander,rose,6
cancer,alley,6
cut,emissions,6
danny,hillis,6
economic,growth,6
fossil,fuel,6
gas,emissions,6
genetic,engineering,6
global,space,6
green,roof,6
green,roofs,6
leopard,seal,6
light,bulbs,6
liquid,water,6
low,cost,6
marine,mammals,6
middle,east,6
months,ago,6
science,fiction,6
sea,levels,6
solar,cell,6
white,house,6
20,million,5
30,percent,5
95,percent,5
aah,ah,5
antarctic,ice,5
applause,chris,5
aquifer,water,5
barrier,reef,5
coral,reefs,5
cutting,emissions,5
developed,countries,5
economic,times,5
energy,imbalance,5
european,union,5
food,chain,5
fossil,record,5
genetic,modification,5
global,economy,5
greenhouse,effect,5
human,development,5
indigenous,people,5
low,carbon,5
mass,extinction,5
mount,washington,5
natural,systems,5
natural,world,5
north,pole,5
oil,spill,5
ownership,networks,5
planetary,boundaries,5
prescribed,burning,5
rising,sea,5
safe,world,5
science,teacher,5
seasonal,sea,5
skin,cancer,5
south,africa,5
stem,cells,5
weather,data,5
world,bank,5
york,city,5
10,planets,4
15,minutes,4
60,percent,4
9,11,4
air,pollution,4
arctic,marine,4
atmospheric,system,4
autistic,mind,4
awful,lot,4
blah,blah,4
bright,green,4
british,columbia,4
carbon,neutral,4
cell,phone,4
cell,phones,4
clean,water,4
climate,science,4
cold,water,4
commercial,fishing,4
communicable,diseases,4
copenhagen,consensus,4
degrees,celsius,4
degrees,fahrenheit,4
development,goals,4
entire,world,4
environmental,justice,4
exquisite,structures,4
famous,picture,4
floating,islands,4
golden,rice,4
heat,island,4
home,planet,4
ice,cap,4
ice,crystals,4
ice,flows,4
ice,melt,4
ideal,world,4
individual,personality,4
international,community,4
inuit,people,4
jacques,cousteau,4
laser,fusion,4
los,angeles,4
low,income,4
makes,materials,4
million,light,4
money,laundering,4
nano,scale,4
nature,makes,4
north,america,4
northern,hemisphere,4
oil,industry,4
ozone,depletion,4
ozone,hole,4
people,live,4
people,living,4
people,people,4
phoenix,islands,4
plant,species,4
polar,ice,4
polar,world,4
powerful,nation,4
president,obama,4
president,tong,4
real,world,4
red,line,4
skin,cells,4
social,contract,4
solar,cells,4
solar,panels,4
supply,chain,4
time,period,4
times,faster,4
top,economists,4
unintended,consequence,4
urban,heat,4
weeks,ago,4
world's,population,4
world's,top,4
yellowstone,national,4
100,billion,3
24,hours,3
250,million,3
30th,anniversary,3
600,foot,3
75,percent,3
agricultural,system,3
ah,aah,3
ambient,noise,3
arctic,circle,3
arctic,sea,3
autistic,child,3
baby,baboon,3
bark,pine,3
