"bigram"	"n"
"1"	"climate change"	98
"2"	"ice sheet"	39
"3"	"sea level"	37
"4"	"global warming"	34
"5"	"black holes"	27
"6"	"billion dollars"	25
"7"	"black hole"	22
"8"	"sea ice"	22
"9"	"billion people"	21
"10"	"global commons"	21
"11"	"food system"	20
"12"	"million people"	20
"13"	"developing world"	19
"14"	"national park"	18
"15"	"poor people"	18
"16"	"time lapse"	18
"17"	"level rise"	17
"18"	"liquid metal"	17
"19"	"south bronx"	17
"20"	"carbon dioxide"	16
"21"	"ice sheets"	16
"22"	"hydrogen sulfide"	15
"23"	"laughter applause"	15
"24"	"nitric oxide"	15
"25"	"renewable energy"	15
"26"	"world war"	15
"27"	"united nations"	13
"28"	"human rights"	12
"29"	"national geographic"	12
"30"	"solar system"	12
"31"	"wal mart"	12
"32"	"90 percent"	11
"33"	"climate crisis"	11
"34"	"climate models"	11
"35"	"million dollars"	11
"36"	"periodic table"	11
"37"	"polar bears"	11
"38"	"10 percent"	10
"39"	"developing countries"	10
"40"	"fossil fuels"	10
"41"	"greenhouse gases"	10
"42"	"heart disease"	10
"43"	"40 percent"	9
"44"	"bad news"	9
"45"	"geo engineering"	9
"46"	"google earth"	9
"47"	"greenland ice"	9
"48"	"mass extinctions"	9
"49"	"ooh ooh"	9
"50"	"organized crime"	9
"51"	"ozone layer"	9
"52"	"sustainable development"	9
"53"	"19th century"	8
"54"	"50 million"	8
"55"	"50 percent"	8
"56"	"abalone shell"	8
"57"	"ah ah"	8
"58"	"blood pressure"	8
"59"	"bottom line"	8
"60"	"co2 emissions"	8
"61"	"complex systems"	8
"62"	"eastern europe"	8
"63"	"genetically engineered"	8
"64"	"greenhouse gas"	8
"65"	"leopard seals"	8
"66"	"life support"	8
"67"	"metal battery"	8
"68"	"oil spills"	8
"69"	"operating space"	8
"70"	"safe operating"	8
"71"	"start thinking"	8
"72"	"support system"	8
"73"	"10 times"	7
"74"	"20 percent"	7
"75"	"21st century"	7
"76"	"25 percent"	7
"77"	"500 million"	7
"78"	"70 percent"	7
"79"	"chris anderson"	7
"80"	"developed world"	7
"81"	"golden rule"	7
"82"	"huge amount"	7
"83"	"montreal protocol"	7
"84"	"planet earth"	7
"85"	"san francisco"	7
"86"	"treaty based"	7
"87"	"war ii"	7
"88"	"100 percent"	6
"89"	"15 percent"	6
"90"	"80 percent"	6
"91"	"al gore"	6
"92"	"alexander rose"	6
"93"	"cancer alley"	6
"94"	"cut emissions"	6
"95"	"danny hillis"	6
"96"	"economic growth"	6
"97"	"fossil fuel"	6
"98"	"gas emissions"	6
"99"	"genetic engineering"	6
"100"	"global space"	6
"101"	"green roof"	6
"102"	"green roofs"	6
"103"	"leopard seal"	6
"104"	"light bulbs"	6
"105"	"liquid water"	6
"106"	"low cost"	6
"107"	"marine mammals"	6
"108"	"middle east"	6
"109"	"months ago"	6
"110"	"science fiction"	6
"111"	"sea levels"	6
"112"	"solar cell"	6
"113"	"white house"	6
"114"	"20 million"	5
"115"	"30 percent"	5
"116"	"95 percent"	5
"117"	"aah ah"	5
"118"	"antarctic ice"	5
"119"	"applause chris"	5
"120"	"aquifer water"	5
"121"	"barrier reef"	5
"122"	"coral reefs"	5
"123"	"cutting emissions"	5
"124"	"developed countries"	5
"125"	"economic times"	5
"126"	"energy imbalance"	5
"127"	"european union"	5
"128"	"food chain"	5
"129"	"fossil record"	5
"130"	"genetic modification"	5
"131"	"global economy"	5
"132"	"greenhouse effect"	5
"133"	"human development"	5
"134"	"indigenous people"	5
"135"	"low carbon"	5
"136"	"mass extinction"	5
"137"	"mount washington"	5
"138"	"natural systems"	5
"139"	"natural world"	5
"140"	"north pole"	5
"141"	"oil spill"	5
"142"	"ownership networks"	5
"143"	"planetary boundaries"	5
"144"	"prescribed burning"	5
"145"	"rising sea"	5
"146"	"safe world"	5
"147"	"science teacher"	5
"148"	"seasonal sea"	5
"149"	"skin cancer"	5
"150"	"south africa"	5
"151"	"stem cells"	5
"152"	"weather data"	5
"153"	"world bank"	5
"154"	"york city"	5
"155"	"10 planets"	4
"156"	"15 minutes"	4
"157"	"60 percent"	4
"158"	"9 11"	4
"159"	"air pollution"	4
"160"	"arctic marine"	4
"161"	"atmospheric system"	4
"162"	"autistic mind"	4
"163"	"awful lot"	4
"164"	"blah blah"	4
"165"	"bright green"	4
"166"	"british columbia"	4
"167"	"carbon neutral"	4
"168"	"cell phone"	4
"169"	"cell phones"	4
"170"	"clean water"	4
"171"	"climate science"	4
"172"	"cold water"	4
"173"	"commercial fishing"	4
"174"	"communicable diseases"	4
"175"	"copenhagen consensus"	4
"176"	"degrees celsius"	4
"177"	"degrees fahrenheit"	4
"178"	"development goals"	4
"179"	"entire world"	4
"180"	"environmental justice"	4
"181"	"exquisite structures"	4
"182"	"famous picture"	4
"183"	"floating islands"	4
"184"	"golden rice"	4
"185"	"heat island"	4
"186"	"home planet"	4
"187"	"ice cap"	4
"188"	"ice crystals"	4
"189"	"ice flows"	4
"190"	"ice melt"	4
"191"	"ideal world"	4
"192"	"individual personality"	4
"193"	"international community"	4
"194"	"inuit people"	4
"195"	"jacques cousteau"	4
"196"	"laser fusion"	4
"197"	"los angeles"	4
"198"	"low income"	4
"199"	"makes materials"	4
"200"	"million light"	4
"201"	"money laundering"	4
"202"	"nano scale"	4
"203"	"nature makes"	4
"204"	"north america"	4
"205"	"northern hemisphere"	4
"206"	"oil industry"	4
"207"	"ozone depletion"	4
"208"	"ozone hole"	4
"209"	"people live"	4
"210"	"people living"	4
"211"	"people people"	4
"212"	"phoenix islands"	4
"213"	"plant species"	4
"214"	"polar ice"	4
"215"	"polar world"	4
"216"	"powerful nation"	4
"217"	"president obama"	4
"218"	"president tong"	4
"219"	"real world"	4
"220"	"red line"	4
"221"	"skin cells"	4
"222"	"social contract"	4
"223"	"solar cells"	4
"224"	"solar panels"	4
"225"	"supply chain"	4
"226"	"time period"	4
"227"	"times faster"	4
"228"	"top economists"	4
"229"	"unintended consequence"	4
"230"	"urban heat"	4
"231"	"weeks ago"	4
"232"	"world's population"	4
"233"	"world's top"	4
"234"	"yellowstone national"	4
"235"	"100 billion"	3
"236"	"24 hours"	3
"237"	"250 million"	3
"238"	"30th anniversary"	3
"239"	"600 foot"	3
"240"	"75 percent"	3
"241"	"agricultural system"	3
"242"	"ah aah"	3
"243"	"ambient noise"	3
"244"	"arctic circle"	3
"245"	"arctic sea"	3
"246"	"autistic child"	3
"247"	"baby baboon"	3
"248"	"bark pine"	3
"249"	"billion stars"	3
"250"	"biodiversity loss"	3
"251"	"blood flow"	3
"252"	"blood vessels"	3
"253"	"blue dot"	3
"254"	"camera gear"	3
"255"	"carbon economy"	3
"256"	"cardiovascular system"	3
"257"	"clean energy"	3
"258"	"climate accord"	3
"259"	"climate agreement"	3
"260"	"climate impacts"	3
"261"	"climate system"	3
"262"	"cod liver"	3
"263"	"cognitive dissonance"	3
"264"	"computer models"	3
"265"	"conventional variety"	3
"266"	"conventional wisdom"	3
"267"	"coral reef"	3
"268"	"couple thousand"	3
"269"	"crazy idea"	3
"270"	"creatures living"	3
"271"	"creosote bush"	3
"272"	"critical care"	3
"273"	"dead bears"	3
"274"	"deep ocean"	3
"275"	"deep time"	3
"276"	"define nature"	3
"277"	"degraded land"	3
"278"	"dna sequence"	3
"279"	"dollars worth"	3
"280"	"earth catalog"	3
"281"	"earth history"	3
"282"	"earth's climate"	3
"283"	"earth's energy"	3
"284"	"empty lot"	3
"285"	"energy balance"	3
"286"	"energy coming"	3
"287"	"farming practices"	3
"288"	"field campaign"	3
"289"	"financial institutions"	3
"290"	"financial markets"	3
"291"	"firmly stand"	3
"292"	"flex fuel"	3
"293"	"flowering plants"	3
"294"	"food security"	3
"295"	"forest floor"	3
"296"	"forest service"	3
"297"	"future fires"	3
"298"	"gasoline consumption"	3
"299"	"genetic information"	3
"300"	"genetically identical"	3
"301"	"giant battery"	3
"302"	"giant plant"	3
"303"	"glacier aquifer"	3
"304"	"global food"	3
"305"	"global temperature"	3
"306"	"gok gok"	3
"307"	"greenhouse gasses"	3
"308"	"grid level"	3
"309"	"grow food"	3
"310"	"hate clouds"	3
"311"	"health care"	3
"312"	"hiv aids"	3
"313"	"homo sapiens"	3
"314"	"hour cell"	3
"315"	"human genome"	3
"316"	"human imagination"	3
"317"	"human induced"	3
"318"	"human mind"	3
"319"	"hundred million"	3
"320"	"ice covered"	3
"321"	"informal economy"	3
"322"	"kilowatt hour"	3
"323"	"lapse cameras"	3
"324"	"laughter ca"	3
"325"	"level storage"	3
"326"	"life cycle"	3
"327"	"liver oil"	3
"328"	"local economic"	3
"329"	"lower atmosphere"	3
"330"	"major world"	3
"331"	"makes sense"	3
"332"	"massive black"	3
"333"	"means respecting"	3
"334"	"medical student"	3
"335"	"merry manhattan"	3
"336"	"microbial age"	3
"337"	"middle income"	3
"338"	"million hydrogen"	3
"339"	"million lives"	3
"340"	"million refugees"	3
"341"	"million tons"	3
"342"	"molten salt"	3
"343"	"moore's law"	3
"344"	"moral hazard"	3
