"speech"	"bigram"	"n"	"tf"	"idf"	"tf_idf"
"1"	"22"	"merry manhattan"	3	0.0227272727272727	4.21950770517611	0.0958979023903661
"2"	"22"	"halter top"	2	0.0151515151515152	4.21950770517611	0.0639319349269107
"3"	"67"	"global commons"	20	0.0134680134680135	3.52636052461616	0.0474930710386015
"4"	"12"	"black holes"	27	0.00915564598168871	4.21950770517611	0.0386323187656002
"5"	"65"	"weather data"	5	0.00758725341426404	4.21950770517611	0.0320144742426108
"6"	"22"	"anderson jill"	1	0.00757575757575758	4.21950770517611	0.0319659674634554
"7"	"22"	"bug spray"	1	0.00757575757575758	4.21950770517611	0.0319659674634554
"8"	"22"	"central park"	1	0.00757575757575758	4.21950770517611	0.0319659674634554
"9"	"22"	"fed everyone's"	1	0.00757575757575758	4.21950770517611	0.0319659674634554
"10"	"22"	"iced tea"	1	0.00757575757575758	4.21950770517611	0.0319659674634554
"11"	"22"	"january applause"	1	0.00757575757575758	4.21950770517611	0.0319659674634554
"12"	"22"	"january laughter"	1	0.00757575757575758	4.21950770517611	0.0319659674634554
"13"	"22"	"january whistling"	1	0.00757575757575758	4.21950770517611	0.0319659674634554
"14"	"22"	"jill sobule"	1	0.00757575757575758	4.21950770517611	0.0319659674634554
"15"	"22"	"lonely sunbathers"	1	0.00757575757575758	4.21950770517611	0.0319659674634554
"16"	"22"	"park everyone's"	1	0.00757575757575758	4.21950770517611	0.0319659674634554
"17"	"22"	"roller skaters"	1	0.00757575757575758	4.21950770517611	0.0319659674634554
"18"	"22"	"skaters friends"	1	0.00757575757575758	4.21950770517611	0.0319659674634554
"19"	"22"	"sunbathers everyone's"	1	0.00757575757575758	4.21950770517611	0.0319659674634554
"20"	"22"	"whistling laughter"	1	0.00757575757575758	4.21950770517611	0.0319659674634554
"21"	"12"	"black hole"	22	0.00746015598507969	4.21950770517611	0.0314781856608594
"22"	"62"	"nitric oxide"	15	0.00666370501999112	4.21950770517611	0.0281175546768732
"23"	"43"	"ice sheet"	16	0.0114531138153185	2.42774823594805	0.0278052768612518
"24"	"22"	"glorious day"	1	0.00757575757575758	3.52636052461616	0.0267148524592133
"25"	"22"	"palm tree"	1	0.00757575757575758	3.52636052461616	0.0267148524592133
"26"	"61"	"storm chasing"	2	0.00526315789473684	4.21950770517611	0.0222079352904006
"27"	"66"	"montreal protocol"	7	0.00512445095168375	4.21950770517611	0.0216226602754266
"28"	"55"	"time lapse"	6	0.00753768844221105	2.83321334405622	0.0213558794778107
"29"	"8"	"food system"	13	0.00665642601126472	3.120895416508	0.0207740094288807
"30"	"45"	"ice sheet"	17	0.00842835894893406	2.42774823594805	0.0204619335702116
"31"	"34"	"liquid metal"	11	0.00568475452196382	3.52636052461616	0.0200464939383864
"32"	"68"	"climate models"	10	0.00560852495793606	3.52636052461616	0.0197776810129902
"33"	"22"	"applause chris"	1	0.00757575757575758	2.61006979274201	0.0197732560056213
"34"	"23"	"wal mart"	12	0.00456100342075257	4.21950770517611	0.0192451890772
"35"	"27"	"iceberg melts"	2	0.00455580865603645	4.21950770517611	0.0192232697274538
"36"	"65"	"musical score"	3	0.00455235204855842	4.21950770517611	0.0192086845455665
"37"	"65"	"weather element"	3	0.00455235204855842	4.21950770517611	0.0192086845455665
"38"	"44"	"sea ice"	12	0.0078125	2.42774823594805	0.0189667830933442
"39"	"32"	"south bronx"	16	0.00514966205342774	3.52636052461616	0.0181595649803214
"40"	"51"	"hydrogen sulfide"	15	0.00416088765603329	4.21950770517611	0.0175568975250046
"41"	"34"	"metal battery"	8	0.0041343669250646	4.21950770517611	0.0174449930963353
"42"	"35"	"abalone shell"	8	0.00413223140495868	4.21950770517611	0.0174359822527938
"43"	"22"	"chris anderson"	1	0.00757575757575758	2.27359755612079	0.017224223910006
"44"	"44"	"marine mammals"	6	0.00390625	4.21950770517611	0.0164824519733442
"45"	"35"	"periodic table"	9	0.00464876033057851	3.52636052461616	0.0163932049181536
"46"	"38"	"poor people"	13	0.00613496932515337	2.61006979274201	0.0160126981149816
"47"	"66"	"ozone layer"	6	0.00439238653001464	3.52636052461616	0.0154891384682994
"48"	"18"	"field campaign"	3	0.00359712230215827	4.21950770517611	0.0151780852704177
"49"	"43"	"aquifer water"	5	0.00357909806728704	4.21950770517611	0.0151020318724986
"50"	"62"	"blood pressure"	8	0.00355397601066193	4.21950770517611	0.014996029160999
"51"	"7"	"organized crime"	9	0.0033457249070632	4.21950770517611	0.0141173120247528
"52"	"62"	"heart disease"	9	0.00399822301199467	3.52636052461616	0.0140991757981099
"53"	"44"	"seasonal sea"	5	0.00325520833333333	4.21950770517611	0.0137353766444535
"54"	"1"	"complex systems"	7	0.00382513661202186	3.52636052461616	0.0134888107498979
"55"	"26"	"life support"	8	0.00313234142521535	4.21950770517611	0.0132169387789385
"56"	"26"	"support system"	8	0.00313234142521535	4.21950770517611	0.0132169387789385
"57"	"22"	"laughter applause"	1	0.00757575757575758	1.73460105538811	0.0131409170862735
"58"	"35"	"solar cell"	6	0.00309917355371901	4.21950770517611	0.0130769866895954
"59"	"65"	"art museum"	2	0.00303490136570561	4.21950770517611	0.0128057896970443
"60"	"65"	"art versus"	2	0.00303490136570561	4.21950770517611	0.0128057896970443
"61"	"65"	"dimensional graph"	2	0.00303490136570561	4.21950770517611	0.0128057896970443
"62"	"65"	"natural reed"	2	0.00303490136570561	4.21950770517611	0.0128057896970443
"63"	"65"	"vertical elements"	2	0.00303490136570561	4.21950770517611	0.0128057896970443
"64"	"18"	"atmospheric system"	3	0.00359712230215827	3.52636052461616	0.0126847500885473
"65"	"7"	"eastern europe"	8	0.00297397769516729	4.21950770517611	0.0125487217997802
"66"	"66"	"ozone hole"	4	0.00292825768667643	4.21950770517611	0.0123558058716723
"67"	"43"	"greenland ice"	6	0.00429491768074445	2.83321334405622	0.0121684180847082
"68"	"43"	"ice flows"	4	0.00286327845382963	4.21950770517611	0.0120816254979989
"69"	"38"	"cancer alley"	6	0.00283152430391694	4.21950770517611	0.011947638617771
"70"	"64"	"prescribed burning"	5	0.00277315585135885	4.21950770517611	0.0117013524824629
"71"	"28"	"ooh ooh"	9	0.00274473924977127	4.21950770517611	0.0115814484131092
"72"	"21"	"geo engineering"	9	0.00273805902038333	4.21950770517611	0.0115532611337344
"73"	"1"	"ownership networks"	5	0.00273224043715847	4.21950770517611	0.0115287095769839
"74"	"67"	"social contract"	4	0.00269360269360269	4.21950770517611	0.0113656773203397
"75"	"61"	"65,000 feet"	1	0.00263157894736842	4.21950770517611	0.0111039676452003
"76"	"61"	"cell capable"	1	0.00263157894736842	4.21950770517611	0.0111039676452003
"77"	"61"	"charged particles"	1	0.00263157894736842	4.21950770517611	0.0111039676452003
"78"	"61"	"cloud called"	1	0.00263157894736842	4.21950770517611	0.0111039676452003
"79"	"61"	"continued exploration"	1	0.00263157894736842	4.21950770517611	0.0111039676452003
"80"	"61"	"fishing tribe"	1	0.00263157894736842	4.21950770517611	0.0111039676452003
"81"	"61"	"giant cloud"	1	0.00263157894736842	4.21950770517611	0.0111039676452003
"82"	"61"	"grandfather's lesson"	1	0.00263157894736842	4.21950770517611	0.0111039676452003
"83"	"61"	"grapefruit size"	1	0.00263157894736842	4.21950770517611	0.0111039676452003
"84"	"61"	"hail forming"	1	0.00263157894736842	4.21950770517611	0.0111039676452003
"85"	"61"	"kidding laughter"	1	0.00263157894736842	4.21950770517611	0.0111039676452003
