speech,bigram,n,tf,idf,tf_idf
22,everyone's out,4,0.030303030303030304,4.219507705176107,0.12786386985382142
22,in merry,3,0.022727272727272728,4.219507705176107,0.09589790239036607
22,manhattan in,3,0.022727272727272728,4.219507705176107,0.09589790239036607
22,merry manhattan,3,0.022727272727272728,4.219507705176107,0.09589790239036607
22,in january,3,0.022727272727272728,3.120895416507997,0.07092944128427266
22,halter top,2,0.015151515151515152,4.219507705176107,0.06393193492691071
22,have my,2,0.015151515151515152,4.219507705176107,0.06393193492691071
22,my halter,2,0.015151515151515152,4.219507705176107,0.06393193492691071
22,top on,2,0.015151515151515152,4.219507705176107,0.06393193492691071
67,global commons,20,0.013468013468013467,3.5263605246161616,0.0474930710386015
22,out in,3,0.022727272727272728,1.916922612182061,0.04356642300413775
22,did you,2,0.015151515151515152,2.6100697927420065,0.03954651201124252
12,black holes,27,0.009155645981688708,4.219507705176107,0.038632318765600165
27,an iceberg,4,0.009111617312072893,3.5263605246161616,0.03213084760470306
65,weather data,5,0.007587253414264037,4.219507705176107,0.03201447424261083
22,a glorious,1,0.007575757575757576,4.219507705176107,0.031965967463455355
22,and dogwoods,1,0.007575757575757576,4.219507705176107,0.031965967463455355
22,and frisbees,1,0.007575757575757576,4.219507705176107,0.031965967463455355
22,and lonely,1,0.007575757575757576,4.219507705176107,0.031965967463455355
22,and lovers,1,0.007575757575757576,4.219507705176107,0.031965967463455355
22,and roller,1,0.007575757575757576,4.219507705176107,0.031965967463455355
22,and well,1,0.007575757575757576,4.219507705176107,0.031965967463455355
22,anderson jill,1,0.007575757575757576,4.219507705176107,0.031965967463455355
22,bloom oh,1,0.007575757575757576,4.219507705176107,0.031965967463455355
22,brought the,1,0.007575757575757576,4.219507705176107,0.031965967463455355
22,bug spray,1,0.007575757575757576,4.219507705176107,0.031965967463455355
22,cares it's,1,0.007575757575757576,4.219507705176107,0.031965967463455355
22,central park,1,0.007575757575757576,4.219507705176107,0.031965967463455355
22,daisies and,1,0.007575757575757576,4.219507705176107,0.031965967463455355
22,dogwoods are,1,0.007575757575757576,4.219507705176107,0.031965967463455355
22,everyone whistling,1,0.007575757575757576,4.219507705176107,0.031965967463455355
22,fed everyone's,1,0.007575757575757576,4.219507705176107,0.031965967463455355
22,flies are,1,0.007575757575757576,4.219507705176107,0.031965967463455355
22,for picnics,1,0.007575757575757576,4.219507705176107,0.031965967463455355
22,frisbees and,1,0.007575757575757576,4.219507705176107,0.031965967463455355
22,gators looking,1,0.007575757575757576,4.219507705176107,0.031965967463455355
22,head next,1,0.007575757575757576,4.219507705176107,0.031965967463455355
22,iced tea,1,0.007575757575757576,4.219507705176107,0.031965967463455355
22,in bloom,1,0.007575757575757576,4.219507705176107,0.031965967463455355
22,it's winter,1,0.007575757575757576,4.219507705176107,0.031965967463455355
22,january applause,1,0.007575757575757576,4.219507705176107,0.031965967463455355
22,january laughter,1,0.007575757575757576,4.219507705176107,0.031965967463455355
22,january whistling,1,0.007575757575757576,4.219507705176107,0.031965967463455355
22,jill sobule,1,0.007575757575757576,4.219507705176107,0.031965967463455355
22,laughter my,1,0.007575757575757576,4.219507705176107,0.031965967463455355
22,lonely sunbathers,1,0.007575757575757576,4.219507705176107,0.031965967463455355
22,looking happy,1,0.007575757575757576,4.219507705176107,0.031965967463455355
22,lovers and,1,0.007575757575757576,4.219507705176107,0.031965967463455355
22,my preacher,1,0.007575757575757576,4.219507705176107,0.031965967463455355
22,oh what,1,0.007575757575757576,4.219507705176107,0.031965967463455355
22,okay strolling,1,0.007575757575757576,4.219507705176107,0.031965967463455355
22,on everyone's,1,0.007575757575757576,4.219507705176107,0.031965967463455355
22,out today,1,0.007575757575757576,4.219507705176107,0.031965967463455355
22,park everyone's,1,0.007575757575757576,4.219507705176107,0.031965967463455355
22,picnics and,1,0.007575757575757576,4.219507705176107,0.031965967463455355
22,preacher said,1,0.007575757575757576,4.219507705176107,0.031965967463455355
22,roller skaters,1,0.007575757575757576,4.219507705176107,0.031965967463455355
22,said don't,1,0.007575757575757576,4.219507705176107,0.031965967463455355
22,skaters friends,1,0.007575757575757576,4.219507705176107,0.031965967463455355
22,spray the,1,0.007575757575757576,4.219507705176107,0.031965967463455355
22,strolling along,1,0.007575757575757576,4.219507705176107,0.031965967463455355
22,sunbathers everyone's,1,0.007575757575757576,4.219507705176107,0.031965967463455355
22,tea did,1,0.007575757575757576,4.219507705176107,0.031965967463455355
22,the bug,1,0.007575757575757576,4.219507705176107,0.031965967463455355
22,the daisies,1,0.007575757575757576,4.219507705176107,0.031965967463455355
22,the flies,1,0.007575757575757576,4.219507705176107,0.031965967463455355
22,the gators,1,0.007575757575757576,4.219507705176107,0.031965967463455355
22,the iced,1,0.007575757575757576,4.219507705176107,0.031965967463455355
22,the palm,1,0.007575757575757576,4.219507705176107,0.031965967463455355
22,tree did,1,0.007575757575757576,4.219507705176107,0.031965967463455355
22,well fed,1,0.007575757575757576,4.219507705176107,0.031965967463455355
22,whistling everyone,1,0.007575757575757576,4.219507705176107,0.031965967463455355
22,whistling laughter,1,0.007575757575757576,4.219507705176107,0.031965967463455355
22,who cares,1,0.007575757575757576,4.219507705176107,0.031965967463455355
22,winter here,1,0.007575757575757576,4.219507705176107,0.031965967463455355
22,worry the,1,0.007575757575757576,4.219507705176107,0.031965967463455355
12,black hole,22,0.007460155985079688,4.219507705176107,0.031478185660859394
68,clouds are,15,0.008412787436904094,3.5263605246161616,0.029666521519485376
27,the iceberg,3,0.00683371298405467,4.219507705176107,0.028834904591180686
62,nitric oxide,15,0.006663705019991115,4.219507705176107,0.028117554676873217
43,ice sheet,16,0.01145311381531854,2.4277482359480516,0.02780527686125184
22,all wrong,1,0.007575757575757576,3.5263605246161616,0.026714852459213345
22,along in,1,0.007575757575757576,3.5263605246161616,0.026714852459213345
22,friends and,1,0.007575757575757576,3.5263605246161616,0.026714852459213345
22,glorious day,1,0.007575757575757576,3.5263605246161616,0.026714852459213345
22,happy and,1,0.007575757575757576,3.5263605246161616,0.026714852459213345
22,i brought,1,0.007575757575757576,3.5263605246161616,0.026714852459213345
22,in central,1,0.007575757575757576,3.5263605246161616,0.026714852459213345
22,palm tree,1,0.007575757575757576,3.5263605246161616,0.026714852459213345
22,so who,1,0.007575757575757576,3.5263605246161616,0.026714852459213345
22,you worry,1,0.007575757575757576,3.5263605246161616,0.026714852459213345
62,vitamin d,14,0.006219458018658374,4.219507705176107,0.026243051031748333
65,you place,4,0.006069802731411229,4.219507705176107,0.025611579394088663
22,applause i,1,0.007575757575757576,3.120895416507997,0.023643147094757552
22,day for,1,0.007575757575757576,3.120895416507997,0.023643147094757552
22,you bring,1,0.007575757575757576,3.120895416507997,0.023643147094757552
62,the skin,15,0.006663705019991115,3.5263605246161616,0.02349862633018322
61,feeds the,2,0.005263157894736842,4.219507705176107,0.022207935290400563
61,so big,2,0.005263157894736842,4.219507705176107,0.022207935290400563
61,storm chasing,2,0.005263157894736842,4.219507705176107,0.022207935290400563
61,that feeds,2,0.005263157894736842,4.219507705176107,0.022207935290400563
61,under them,2,0.005263157894736842,4.219507705176107,0.022207935290400563
66,montreal protocol,7,0.005124450951683748,4.219507705176107,0.02162266027542661
66,the montreal,7,0.005124450951683748,4.219507705176107,0.02162266027542661
22,all in,1,0.007575757575757576,2.833213344056216,0.021463737454971335
22,bring the,1,0.007575757575757576,2.833213344056216,0.021463737454971335
22,don't you,1,0.007575757575757576,2.833213344056216,0.021463737454971335
22,scientists have,1,0.007575757575757576,2.833213344056216,0.021463737454971335
22,wrong and,1,0.007575757575757576,2.833213344056216,0.021463737454971335
22,your head,1,0.007575757575757576,2.833213344056216,0.021463737454971335
65,i use,4,0.006069802731411229,3.5263605246161616,0.021404312744255912
65,place it,4,0.006069802731411229,3.5263605246161616,0.021404312744255912
55,time lapse,6,0.007537688442211055,2.833213344056216,0.021355879477810674
43,the aquifer,7,0.005010737294201861,4.219507705176107,0.02114284462149803
8,food system,13,0.006656426011264721,3.120895416507997,0.020774009428880677
66,the ozone,9,0.006588579795021962,3.120895416507997,0.02056226848358124
45,ice sheet,17,0.00842835894893406,2.4277482359480516,0.02046193357021164
30,open your,5,0.004830917874396135,4.219507705176107,0.020384095194087473
34,liquid metal,11,0.005684754521963824,3.5263605246161616,0.020046493938386447
68,climate models,10,0.005608524957936063,3.5263605246161616,0.01977768101299025
22,applause chris,1,0.007575757575757576,2.6100697927420065,0.01977325600562126
22,today the,1,0.007575757575757576,2.6100697927420065,0.01977325600562126
43,the ice,19,0.013600572655690766,1.4469189829363254,0.01967892675432368
67,the global,20,0.013468013468013467,1.4469189829363254,0.01948712434931078
44,the arctic,18,0.01171875,1.65455834771457,0.019389355637280118
23,wal mart,12,0.004561003420752566,4.219507705176107,0.019245189077200034
27,iceberg melts,2,0.004555808656036446,4.219507705176107,0.01922326972745379
27,iceberg that,2,0.004555808656036446,4.219507705176107,0.01922326972745379
65,a musical,3,0.004552352048558422,4.219507705176107,0.019208684545566495
65,a three,3,0.004552352048558422,4.219507705176107,0.019208684545566495
65,a weather,3,0.004552352048558422,4.219507705176107,0.019208684545566495
65,musical score,3,0.004552352048558422,4.219507705176107,0.019208684545566495
65,these scores,3,0.004552352048558422,4.219507705176107,0.019208684545566495
65,weather element,3,0.004552352048558422,4.219507705176107,0.019208684545566495
44,sea ice,12,0.0078125,2.4277482359480516,0.018966783093344153
61,can grow,2,0.005263157894736842,3.5263605246161616,0.018559792234821904
61,grow so,2,0.005263157894736842,3.5263605246161616,0.018559792234821904
22,have it,1,0.007575757575757576,2.4277482359480516,0.018392032090515542
22,on i,1,0.007575757575757576,2.4277482359480516,0.018392032090515542
