"speech"	"word"	"n"	"total"	"tf"	"idf"	"tf_idf"
"2"	"39"	"bees"	49	2268	0.0216049382716049	4.21950770517611	0.0911622035068912
"9"	"68"	"clouds"	52	1784	0.0291479820627803	2.14006616349627	0.0623786101467523
"11"	"27"	"iceberg"	9	440	0.0204545454545455	2.83321334405622	0.0579520911284226
"12"	"34"	"battery"	28	1936	0.0144628099173554	3.120895416508	0.0451369171809008
"13"	"66"	"ozone"	18	1367	0.0131675201170446	2.83321334405622	0.0373063937037395
"14"	"60"	"clouds"	27	1594	0.0169385194479297	2.14006616349627	0.036249552330238
"16"	"22"	"daisies"	1	133	0.0075187969924812	4.21950770517611	0.0317256218434294
"17"	"22"	"dogwoods"	1	133	0.0075187969924812	4.21950770517611	0.0317256218434294
"19"	"22"	"gators"	1	133	0.0075187969924812	4.21950770517611	0.0317256218434294
"20"	"22"	"iced"	1	133	0.0075187969924812	4.21950770517611	0.0317256218434294
"26"	"22"	"jill sobule"	1	133	0.0075187969924812	4.21950770517611	0.0317256218434294
"30"	"65"	"weather"	12	660	0.0181818181818182	1.73460105538811	0.0315382010070565
"31"	"66"	"cfcs"	10	1367	0.00731528895391368	4.21950770517611	0.0308669181066284
"34"	"43"	"aquifer"	10	1398	0.00715307582260372	4.21950770517611	0.0301824585491853
"35"	"40"	"rice"	24	2498	0.00960768614891913	3.120895416508	0.0299845836654091
"36"	"62"	"nitric"	16	2252	0.00710479573712256	4.21950770517611	0.029978740356491
"39"	"33"	"oil"	64	3471	0.0184384903486027	1.58045037556085	0.0291411189962242
"43"	"66"	"protocol"	9	1367	0.00658376005852231	4.21950770517611	0.0277802262959656
"44"	"22"	"bloom"	1	133	0.0075187969924812	3.52636052461616	0.0265139889068884
