"speech"	"word"	"n"	"total"	"tf"	"idf"	"tf_idf"
"1"	"22"	"everyone's"	4	133	0.0300751879699248	3.120895416508	0.0938615162859548
"2"	"39"	"bees"	49	2268	0.0216049382716049	4.21950770517611	0.0911622035068912
"3"	"36"	"fusion"	48	2442	0.0196560196560197	4.21950770517611	0.082938726391668
"4"	"22"	"merry"	3	133	0.0225563909774436	3.52636052461616	0.0795419667206653
"5"	"22"	"january"	3	133	0.0225563909774436	2.83321334405622	0.0639070679110425
"6"	"22"	"manhattan"	3	133	0.0225563909774436	2.83321334405622	0.0639070679110425
"7"	"22"	"halter"	2	133	0.0150375939849624	4.21950770517611	0.0634512436868587
"8"	"22"	"whistling"	2	133	0.0150375939849624	4.21950770517611	0.0634512436868587
"9"	"68"	"clouds"	52	1784	0.0291479820627803	2.14006616349627	0.0623786101467523
"10"	"67"	"commons"	28	1486	0.018842530282638	3.120895416508	0.0588055663944979
"11"	"27"	"iceberg"	9	440	0.0204545454545455	2.83321334405622	0.0579520911284226
"12"	"34"	"battery"	28	1936	0.0144628099173554	3.120895416508	0.0451369171809008
"13"	"66"	"ozone"	18	1367	0.0131675201170446	2.83321334405622	0.0373063937037395
"14"	"60"	"clouds"	27	1594	0.0169385194479297	2.14006616349627	0.036249552330238
"15"	"27"	"icebergs"	5	440	0.0113636363636364	3.120895416508	0.0354647206421363
"16"	"22"	"daisies"	1	133	0.0075187969924812	4.21950770517611	0.0317256218434294
"17"	"22"	"dogwoods"	1	133	0.0075187969924812	4.21950770517611	0.0317256218434294
"18"	"22"	"frisbees"	1	133	0.0075187969924812	4.21950770517611	0.0317256218434294
"19"	"22"	"gators"	1	133	0.0075187969924812	4.21950770517611	0.0317256218434294
"20"	"22"	"iced"	1	133	0.0075187969924812	4.21950770517611	0.0317256218434294
"21"	"22"	"lovers"	1	133	0.0075187969924812	4.21950770517611	0.0317256218434294
"22"	"22"	"picnics"	1	133	0.0075187969924812	4.21950770517611	0.0317256218434294
"23"	"22"	"preacher"	1	133	0.0075187969924812	4.21950770517611	0.0317256218434294
"24"	"22"	"roller"	1	133	0.0075187969924812	4.21950770517611	0.0317256218434294
"25"	"22"	"skaters"	1	133	0.0075187969924812	4.21950770517611	0.0317256218434294
"26"	"22"	"sobule"	1	133	0.0075187969924812	4.21950770517611	0.0317256218434294
"27"	"22"	"strolling"	1	133	0.0075187969924812	4.21950770517611	0.0317256218434294
"28"	"22"	"sunbathers"	1	133	0.0075187969924812	4.21950770517611	0.0317256218434294
"29"	"22"	"tea"	1	133	0.0075187969924812	4.21950770517611	0.0317256218434294
"30"	"65"	"weather"	12	660	0.0181818181818182	1.73460105538811	0.0315382010070565
"31"	"66"	"cfcs"	10	1367	0.00731528895391368	4.21950770517611	0.0308669181066284
"32"	"66"	"montreal"	10	1367	0.00731528895391368	4.21950770517611	0.0308669181066284
"33"	"60"	"cloud"	17	1594	0.0106649937264743	2.83321334405622	0.0302162025401228
"34"	"43"	"aquifer"	10	1398	0.00715307582260372	4.21950770517611	0.0301824585491853
"35"	"40"	"rice"	24	2498	0.00960768614891913	3.120895416508	0.0299845836654091
"36"	"62"	"nitric"	16	2252	0.00710479573712256	4.21950770517611	0.029978740356491
"37"	"1"	"ownership"	13	1831	0.0070999453850355	4.21950770517611	0.0299582742584868
"38"	"39"	"bee"	16	2268	0.00705467372134039	4.21950770517611	0.0297672501246992
"39"	"33"	"oil"	64	3471	0.0184384903486027	1.58045037556085	0.0291411189962242
"40"	"12"	"black"	49	2950	0.0166101694915254	1.73460105538811	0.0288120175301753
"41"	"65"	"musical"	6	660	0.00909090909090909	3.120895416508	0.0283717765137091
"42"	"43"	"ice"	41	1398	0.0293276108726753	0.961411167154625	0.0281958925989554
"43"	"66"	"protocol"	9	1367	0.00658376005852231	4.21950770517611	0.0277802262959656
"44"	"22"	"bloom"	1	133	0.0075187969924812	3.52636052461616	0.0265139889068884
"45"	"22"	"bug"	1	133	0.0075187969924812	3.52636052461616	0.0265139889068884
"46"	"22"	"cares"	1	133	0.0075187969924812	3.52636052461616	0.0265139889068884
"47"	"59"	"park"	16	1229	0.0130187144019528	2.02228312783989	0.0263275264812353
"48"	"45"	"radar"	17	2018	0.00842418235877106	3.120895416508	0.0262909921113161
"49"	"12"	"holes"	27	2950	0.00915254237288136	2.83321334405622	0.0259311051828874
"50"	"14"	"religion"	20	2729	0.00732869182850861	3.52636052461616	0.0258436095611298
"51"	"65"	"scores"	4	660	0.00606060606060606	4.21950770517611	0.0255727739707643
"52"	"44"	"arctic"	25	1537	0.0162654521795706	1.5114575040739	0.0245845397539671
"53"	"43"	"sheet"	16	1398	0.011444921316166	2.14006616349627	0.024492888852604
"54"	"64"	"fires"	18	1804	0.00997782705099778	2.42774823594805	0.0242236520216546
"55"	"9"	"democracy"	18	1943	0.00926402470406588	2.61006979274201	0.0241797510392981
"56"	"59"	"bangkok"	7	1229	0.00569568755085435	4.21950770517611	0.0240329975071056
"57"	"40"	"genetic"	17	2498	0.00680544435548439	3.52636052461616	0.023998450327652
"58"	"35"	"abalone"	11	1937	0.00567888487351575	4.21950770517611	0.0239620984806077
"59"	"62"	"oxide"	15	2252	0.0066607460035524	3.52636052461616	0.023488191771422
"60"	"22"	"glorious"	1	133	0.0075187969924812	3.120895416508	0.0234653790714887
"61"	"22"	"palm"	1	133	0.0075187969924812	3.120895416508	0.0234653790714887
"62"	"28"	"ah"	18	3280	0.00548780487804878	4.21950770517611	0.0231558349674299
"63"	"59"	"concrete"	8	1229	0.0065093572009764	3.52636052461616	0.0229543402741491
"64"	"52"	"dinosaurs"	17	2342	0.00725875320239112	3.120895416508	0.0226538095989052
"65"	"34"	"metal"	14	1936	0.00723140495867769	3.120895416508	0.0225684585904504
"66"	"61"	"clouds"	4	381	0.010498687664042	2.14006616349627	0.022467886230932
"67"	"36"	"plasma"	13	2442	0.00532350532350532	4.21950770517611	0.0224625717310767
"68"	"8"	"hunger"	14	1954	0.00716479017400205	3.120895416508	0.0223605608142845
"69"	"61"	"cloud"	3	381	0.0078740157480315	2.83321334405622	0.0223087664886316
"70"	"44"	"underwater"	15	1537	0.00975927130774236	2.27359755612079	0.0221886553948028
"71"	"61"	"feeds"	2	381	0.005249343832021	4.21950770517611	0.0221496467463313
"72"	"44"	"noise"	14	1537	0.00910865322055953	2.42774823594805	0.0221135167880759
"73"	"40"	"papaya"	13	2498	0.00520416333066453	4.21950770517611	0.0219590072727339
"74"	"65"	"data"	10	660	0.0151515151515152	1.44691898293633	0.0219230148929746
"75"	"28"	"seal"	17	3280	0.00518292682926829	4.21950770517611	0.0218693996914615
"76"	"52"	"rocks"	21	2342	0.0089666951323655	2.42774823594805	0.0217688782898843
"77"	"52"	"dreadnoughtus"	12	2342	0.00512382578992314	4.21950770517611	0.0216200224005608
"78"	"64"	"burned"	11	1804	0.00609756097560976	3.52636052461616	0.0215021983208303
"79"	"65"	"score"	4	660	0.00606060606060606	3.52636052461616	0.0213718819673707
"80"	"55"	"lapse"	6	797	0.00752823086574655	2.83321334405622	0.021329084145969
"81"	"22"	"flies"	1	133	0.0075187969924812	2.83321334405622	0.0213023559703475
"82"	"22"	"jill"	1	133	0.0075187969924812	2.83321334405622	0.0213023559703475
"83"	"22"	"spray"	1	133	0.0075187969924812	2.83321334405622	0.0213023559703475
"84"	"18"	"molecule"	5	835	0.00598802395209581	3.52636052461616	0.0211159312851267
"85"	"64"	"wildfires"	9	1804	0.00498891352549889	4.21950770517611	0.0210507590612999
"86"	"49"	"wolves"	13	2181	0.00596056854653829	3.52636052461616	0.0210191136267813
"87"	"20"	"transformations"	14	2357	0.00593975392448027	3.52636052461616	0.0209457137652212
"88"	"30"	"gift"	6	1036	0.00579150579150579	3.52636052461616	0.0204229374012519
"89"	"62"	"skin"	20	2252	0.0088809946714032	2.27359755612079	0.0201918077808241
"90"	"38"	"bottle"	10	2120	0.00471698113207547	4.21950770517611	0.0199033382319628
"91"	"12"	"hole"	24	2950	0.00813559322033898	2.42774823594805	0.0197511720890689
"92"	"22"	"lonely"	1	133	0.0075187969924812	2.61006979274201	0.0196245849078346
"93"	"62"	"vitamin"	14	2252	0.00621669626998224	3.120895416508	0.0194016588948099
"94"	"32"	"bronx"	17	3108	0.00546975546975547	3.52636052461616	0.019288329767849
"95"	"29"	"bj"	12	2626	0.00456968773800457	4.21950770517611	0.0192818326207591
"96"	"29"	"dj"	12	2626	0.00456968773800457	4.21950770517611	0.0192818326207591
"97"	"23"	"wal"	12	2632	0.00455927051671732	4.21950770517611	0.019237877075271
"98"	"62"	"blood"	19	2252	0.00843694493783304	2.27359755612079	0.0191822173917829
"99"	"27"	"snowflake"	2	440	0.00454545454545455	4.21950770517611	0.0191795804780732
"100"	"11"	"clock"	21	3884	0.00540679711637487	3.52636052461616	0.0190663159157928
"101"	"4"	"muhammad"	7	1552	0.00451030927835052	4.21950770517611	0.0190312847527273
"102"	"65"	"dimensional"	4	660	0.00606060606060606	3.120895416508	0.018914517675806
"103"	"35"	"virus"	14	1937	0.00722767165720186	2.61006979274201	0.0188647274643201
"104"	"64"	"patchwork"	8	1804	0.00443458980044346	4.21950770517611	0.0187117858322665
"105"	"14"	"religious"	18	2729	0.00659582264565775	2.83321334405622	0.0186873727347057
"106"	"39"	"honeybees"	10	2268	0.00440917107583774	4.21950770517611	0.018604531327937
"107"	"61"	"chasing"	2	381	0.005249343832021	3.52636052461616	0.0185110788693762
"108"	"61"	"hail"	2	381	0.005249343832021	3.52636052461616	0.0185110788693762
"109"	"44"	"whales"	10	1537	0.00650618087182824	2.83321334405622	0.0184333984649071
"110"	"22"	"fed"	1	133	0.0075187969924812	2.42774823594805	0.0182537461349478
"111"	"22"	"worry"	1	133	0.0075187969924812	2.42774823594805	0.0182537461349478
"112"	"35"	"periodic"	10	1937	0.00516262261228704	3.52636052461616	0.0182052685834598
"113"	"4"	"he'd"	8	1552	0.00515463917525773	3.52636052461616	0.0181771161062689
"114"	"44"	"ice"	29	1537	0.0188679245283019	0.961411167154625	0.0181398333425401
"115"	"43"	"crevasse"	6	1398	0.00429184549356223	4.21950770517611	0.0181094751295112
"116"	"15"	"cells"	17	2457	0.00691900691900692	2.61006979274201	0.0180590909550729
"117"	"45"	"sheet"	17	2018	0.00842418235877106	2.14006616349627	0.0180283076211281
"118"	"35"	"battery"	11	1937	0.00567888487351575	3.120895416508	0.0177232057726319
"119"	"11"	"mountain"	32	3884	0.0082389289392379	2.14006616349627	0.0176318530463133
"120"	"51"	"sulfide"	15	3606	0.00415973377703827	4.21950770517611	0.0175520287236943
"121"	"35"	"materials"	14	1937	0.00722767165720186	2.42774823594805	0.0175469671157835
"122"	"18"	"atmospheric"	6	835	0.00718562874251497	2.42774823594805	0.0174448975038183
"123"	"54"	"man"	18	1493	0.0120562625586068	1.44691898293633	0.0174444351593127
"124"	"9"	"elections"	8	1943	0.00411734431291817	4.21950770517611	0.0173731660532212
"125"	"64"	"forest"	18	1804	0.00997782705099778	1.73460105538811	0.0173075493331407
"126"	"36"	"laser"	10	2442	0.0040950040950041	4.21950770517611	0.0172789013315975
"127"	"4"	"faith"	11	1552	0.00708762886597938	2.42774823594805	0.0172069784764359
"128"	"38"	"plastic"	15	2120	0.00707547169811321	2.42774823594805	0.0171774639335947
